Dates,CCI Values
2021-05-04,-128.0435
2021-05-03,-44.7252
2021-04-30,-66.8064
2021-04-29,-63.2134
2021-04-28,-63.1216
2021-04-27,-8.9291
2021-04-26,-14.7017
2021-04-23,-73.2335
2021-04-22,-101.8900
2021-04-21,-157.9586
2021-04-20,-240.4003
2021-04-19,-200.9767
2021-04-16,-107.2578
2021-04-15,-57.5408
2021-04-14,11.9612
2021-04-13,-65.2124
2021-04-12,-130.2561
2021-04-09,-38.7971
2021-04-08,18.2902
2021-04-07,30.3161
2021-04-06,79.3580
2021-04-05,118.6233
2021-04-01,64.9275
2021-03-31,69.0493
2021-03-30,12.2560
2021-03-29,0.0769
2021-03-26,-66.6876
2021-03-25,-111.8981
2021-03-24,-138.0314
2021-03-23,-119.2707
2021-03-22,-9.5065
2021-03-19,22.2189
2021-03-18,50.6306
2021-03-17,64.9707
2021-03-16,70.1511
2021-03-15,141.4891
2021-03-12,180.4643
2021-03-11,208.8331
2021-03-10,217.9970
2021-03-09,107.7374
2021-03-08,59.7802
2021-03-05,17.9488
2021-03-04,83.2840
2021-03-03,133.5026
2021-03-02,104.4615
2021-03-01,133.1557
2021-02-26,-11.7611
2021-02-25,109.5015
2021-02-24,231.8285
2021-02-23,-75.5470
2021-02-22,57.5667
2021-02-19,70.8732
2021-02-18,-62.5415
2021-02-17,113.1348
2021-02-16,121.5788
2021-02-12,45.6605
2021-02-11,51.4540
2021-02-10,87.6601
2021-02-09,104.7418
2021-02-08,99.9845
2021-02-05,109.5871
2021-02-04,142.3124
2021-02-03,73.3284
2021-02-02,-16.1903
2021-02-01,-91.4868
2021-01-29,-105.3669
2021-01-28,-112.7929
2021-01-27,-205.7046
2021-01-26,-90.5163
2021-01-25,-152.1052
2021-01-22,-85.9609
2021-01-21,-16.9660
2021-01-20,86.5932
2021-01-19,10.9177
2021-01-15,-71.7846
2021-01-14,27.5146
2021-01-13,-65.9256
2021-01-12,-71.0922
2021-01-11,-128.5792
2021-01-08,-56.7690
2021-01-07,-15.7713
2021-01-06,-55.2881
2021-01-05,-110.9210
2021-01-04,-276.0235
2020-12-31,-118.4867
2020-12-30,-80.0572
2020-12-29,-65.3490
2020-12-28,-86.4192
2020-12-24,-86.6030
2020-12-23,-56.7811
2020-12-22,-84.1959
2020-12-21,-155.4167
2020-12-18,-150.6408
2020-12-17,-166.9167
2020-12-16,-134.2099
2020-12-15,-67.4690
2020-12-14,5.5511
2020-12-11,20.2099
2020-12-10,38.5809
2020-12-09,51.2287
2020-12-08,90.3163
2020-12-07,138.4191
2020-12-04,146.9141
2020-12-03,203.5638
2020-12-02,94.2488
2020-12-01,46.8484
2020-11-30,32.3472
2020-11-27,92.1101
2020-11-25,98.8997
2020-11-24,123.3733
2020-11-23,82.5943
2020-11-20,51.3870
2020-11-19,84.0893
2020-11-18,129.5614
2020-11-17,130.4281
2020-11-16,115.7516
2020-11-13,73.6178
2020-11-12,68.6623
2020-11-11,114.4588
2020-11-10,195.9555
2020-11-09,266.8497
2020-11-06,67.8843
2020-11-05,21.9300
2020-11-04,-22.7444
2020-11-03,-28.6504
2020-11-02,-85.2084
2020-10-30,-126.1227
2020-10-29,-144.9155
2020-10-28,-193.3113
2020-10-27,-177.9801
2020-10-26,-107.1000
2020-10-23,52.4526
2020-10-22,42.4021
2020-10-21,-34.5656
2020-10-20,47.0459
2020-10-19,70.7660
2020-10-16,95.7519
2020-10-15,-106.9868
2020-10-14,-97.6344
2020-10-13,-145.8639
2020-10-12,33.2571
2020-10-09,64.7275
2020-10-08,37.9343
2020-10-07,18.8994
2020-10-06,30.1579
2020-10-05,90.7960
2020-10-02,72.1709
2020-10-01,102.5280
2020-09-30,88.7239
2020-09-29,53.8792
2020-09-28,59.0900
2020-09-25,-74.5757
2020-09-24,-169.7583
2020-09-23,-123.7934
2020-09-22,-94.8554
2020-09-21,-144.5933
2020-09-18,10.3546
2020-09-17,24.7754
2020-09-16,13.9673
2020-09-15,-8.7275
2020-09-14,-38.9667
2020-09-11,-97.2705
2020-09-10,-126.1626
2020-09-09,-175.2692
2020-09-08,-250.2186
2020-09-04,-173.5972
2020-09-03,-34.0541
2020-09-02,20.5261
2020-09-01,-15.2649
2020-08-31,7.7444
2020-08-28,65.8686
2020-08-27,87.5461
2020-08-26,-6.4806
2020-08-25,60.0237
2020-08-24,14.8385
2020-08-21,-106.6718
2020-08-20,-107.0663
2020-08-19,-85.5524
2020-08-18,-90.7921
2020-08-17,-8.7814
2020-08-14,48.9304
2020-08-13,47.1793
2020-08-12,77.4459
2020-08-11,156.0920
2020-08-10,125.2957
