Dates,OBV Values
2010-12-13,5336800.0000
2010-12-10,10156400.0000
2010-12-09,15658100.0000
2010-12-08,20846400.0000
2010-12-07,26077000.0000
2010-12-06,30809800.0000
2010-12-03,27354800.0000
2010-12-02,30710700.0000
2010-12-01,25950000.0000
2010-11-30,18434800.0000
2010-11-29,24248900.0000
2010-11-26,28633900.0000
2010-11-24,30913500.0000
2010-11-23,24707800.0000
2010-11-22,31275700.0000
2010-11-19,25367100.0000
2010-11-18,34191800.0000
2010-11-17,22613300.0000
2010-11-16,30786600.0000
2010-11-15,40402400.0000
2010-11-12,29437900.0000
2010-11-11,46159400.0000
2010-11-10,56193100.0000
2010-11-09,66687800.0000
2010-11-08,71275300.0000
2010-11-05,75446900.0000
2010-11-04,71821100.0000
2010-11-03,66063000.0000
2010-11-02,70733800.0000
2010-11-01,77073600.0000
2010-10-29,80395000.0000
2010-10-28,83587300.0000
2010-10-27,79467500.0000
2010-10-26,83275700.0000
2010-10-25,86820200.0000
2010-10-22,82017300.0000
2010-10-21,85079700.0000
2010-10-20,80457000.0000
2010-10-19,72389300.0000
2010-10-18,76882700.0000
2010-10-15,72064200.0000
2010-10-14,77705500.0000
2010-10-13,81547000.0000
2010-10-12,75508100.0000
2010-10-11,71126500.0000
2010-10-08,67657100.0000
2010-10-07,64321400.0000
2010-10-06,69822800.0000
2010-10-05,74541200.0000
2010-10-04,67023400.0000
2010-10-01,71097100.0000
2010-09-30,66614100.0000
2010-09-29,58399800.0000
2010-09-28,52525100.0000
2010-09-27,48963600.0000
2010-09-24,51726000.0000
2010-09-23,47099100.0000
2010-09-22,50755900.0000
2010-09-21,54391400.0000
2010-09-20,49030200.0000
2010-09-17,44861100.0000
2010-09-16,34158400.0000
2010-09-15,38834900.0000
2010-09-14,43763000.0000
2010-09-13,49788500.0000
2010-09-10,46669400.0000
2010-09-09,43459100.0000
2010-09-08,47649800.0000
2010-09-07,43902000.0000
2010-09-03,46431800.0000
2010-09-02,42960200.0000
2010-09-01,39494400.0000
2010-08-31,33805600.0000
2010-08-30,39115100.0000
2010-08-27,42394300.0000
2010-08-26,35542700.0000
2010-08-25,30659400.0000
2010-08-24,35802600.0000
2010-08-23,45784000.0000
2010-08-20,49671800.0000
2010-08-19,53537700.0000
2010-08-18,57738400.0000
2010-08-17,54925600.0000
2010-08-16,50621700.0000
2010-08-13,53654900.0000
2010-08-12,49989700.0000
2010-08-11,53837400.0000
2010-08-10,59068100.0000
2010-08-09,63194300.0000
2010-08-06,60290000.0000
2010-08-05,64788800.0000
2010-08-04,69101700.0000
2010-08-03,65241700.0000
2010-08-02,69015100.0000
2010-07-30,63584300.0000
2010-07-29,57562300.0000
2010-07-28,62020900.0000
2010-07-27,67561600.0000
2010-07-26,73248400.0000
2010-07-23,67411800.0000
2010-07-22,62388400.0000
2010-07-21,54816100.0000
2010-07-20,59275600.0000
2010-07-19,54207000.0000
2010-07-16,49175500.0000
2010-07-15,56191900.0000
2010-07-14,64260700.0000
2010-07-13,60438200.0000
2010-07-12,54229900.0000
2010-07-09,56529400.0000
2010-07-08,59674400.0000
2010-07-07,55185200.0000
2010-07-06,50400100.0000
2010-07-02,55844300.0000
2010-07-01,59405600.0000
2010-06-30,65870700.0000
2010-06-29,72972900.0000
