Dates,DX Values
2019-08-16,15.0523
2019-08-15,16.7519
2019-08-14,16.4151
2019-08-13,12.3376
2019-08-12,13.0818
2019-08-09,12.3464
2019-08-08,13.7387
2019-08-07,16.3004
2019-08-06,14.5172
2019-08-05,15.7494
2019-08-02,13.6529
2019-08-01,13.3852
2019-07-31,10.1535
2019-07-30,12.0856
2019-07-29,11.0583
2019-07-26,9.8888
2019-07-25,8.3731
2019-07-24,2.1472
2019-07-23,2.9514
2019-07-22,3.5521
2019-07-19,1.6558
2019-07-18,3.1951
2019-07-17,2.1256
2019-07-16,4.3346
2019-07-15,5.6066
2019-07-12,5.6066
2019-07-11,8.7595
2019-07-10,10.1865
2019-07-09,11.5847
2019-07-08,10.9621
2019-07-05,10.1240
2019-07-03,11.3390
2019-07-02,11.1669
2019-07-01,10.9187
2019-06-28,7.6050
2019-06-27,7.2854
2019-06-26,4.0974
2019-06-25,5.8364
2019-06-24,4.1237
2019-06-21,4.1237
2019-06-20,4.2669
2019-06-19,4.2669
2019-06-18,6.3117
2019-06-17,15.1446
2019-06-14,18.7201
2019-06-13,18.7779
2019-06-12,18.7779
2019-06-11,16.8935
2019-06-10,14.9285
2019-06-07,15.9797
2019-06-06,17.7925
2019-06-05,17.7925
2019-06-04,15.1217
2019-06-03,18.7388
2019-05-31,14.9016
2019-05-30,12.4080
2019-05-29,12.4080
2019-05-28,8.9683
2019-05-24,8.9683
2019-05-23,13.7946
2019-05-22,9.6063
2019-05-21,8.3173
2019-05-20,10.7043
2019-05-17,10.4506
2019-05-16,12.1711
2019-05-15,16.0808
2019-05-14,17.4880
2019-05-13,17.4880
2019-05-10,13.5555
2019-05-09,13.5555
2019-05-08,12.0981
2019-05-07,11.4548
2019-05-06,7.2803
2019-05-03,3.6772
2019-05-02,3.7923
2019-05-01,2.4644
2019-04-30,2.4888
2019-04-29,1.7773
2019-04-26,1.2072
2019-04-25,1.2072
2019-04-24,2.7217
2019-04-23,4.5190
2019-04-22,3.6349
2019-04-18,2.6240
2019-04-17,2.6240
2019-04-16,2.6240
2019-04-15,5.2986
2019-04-12,5.2986
2019-04-11,8.8853
2019-04-10,9.8318
2019-04-09,8.1820
2019-04-08,6.7593
2019-04-05,0.3159
2019-04-04,0.3093
2019-04-03,2.4830
2019-04-02,0.7926
2019-04-01,1.5441
2019-03-29,5.8396
2019-03-28,8.1482
2019-03-27,8.1482
2019-03-26,7.4280
2019-03-25,9.2253
2019-03-22,9.7788
2019-03-21,6.0803
2019-03-20,5.5664
2019-03-19,6.3649
2019-03-18,8.6257
2019-03-15,8.6257
2019-03-14,6.7386
2019-03-13,6.7386
2019-03-12,5.1842
2019-03-11,5.1842
2019-03-08,14.4032
2019-03-07,14.8408
2019-03-06,17.4827
2019-03-05,20.6481
2019-03-04,20.6481
2019-03-01,27.4623
2019-02-28,26.0773
2019-02-27,24.5109
2019-02-26,22.1839
2019-02-25,23.3378
2019-02-22,21.5956
2019-02-21,20.9296
2019-02-20,21.6337
2019-02-19,20.3979
2019-02-15,20.3979
2019-02-14,18.5538
2019-02-13,18.5538
2019-02-12,18.0818
2019-02-11,17.6543
2019-02-08,16.1410
2019-02-07,18.1021
2019-02-06,18.6807
2019-02-05,17.7510
2019-02-04,13.5164
2019-02-01,12.1325
2019-01-31,10.8840
2019-01-30,10.8840
2019-01-29,2.4427
2019-01-28,0.6838
2019-01-25,1.7866
2019-01-24,0.3656
2019-01-23,0.0042
2019-01-22,0.2040
2019-01-18,2.8606
2019-01-17,1.6038
2019-01-16,1.6617
2019-01-15,2.2966
2019-01-14,2.4846
2019-01-11,2.1076
2019-01-10,2.4288
2019-01-09,4.6913
2019-01-08,6.8884
2019-01-07,10.9378
2019-01-04,11.8223
2019-01-03,15.3062
2019-01-02,14.0055
2018-12-31,12.4648
2018-12-28,13.2976
2018-12-27,15.0344
2018-12-26,16.2478
2018-12-24,20.7874
2018-12-21,18.0001
2018-12-20,16.8384
2018-12-19,14.4266
2018-12-18,12.2403
2018-12-17,14.2031
2018-12-14,15.5465
2018-12-13,12.9318
2018-12-12,12.7822
2018-12-11,12.7822
2018-12-10,15.6391
2018-12-07,13.9154
2018-12-06,15.4806
2018-12-04,7.8623
