Dates,STOCH Values
2020-04-15,16.6247
2020-04-14,17.7272
2020-04-13,12.8356
2020-04-09,12.5016
2020-04-08,8.4859
2020-04-07,8.2779
2020-04-06,11.4102
2020-04-03,4.6784
2020-04-02,21.0058
2020-04-01,21.2742
2020-03-31,37.0039
2020-03-30,37.0647
2020-03-27,51.8459
2020-03-26,52.6727
2020-03-25,59.9392
2020-03-24,65.8002
2020-03-23,59.5562
2020-03-20,61.3446
2020-03-19,49.1251
2020-03-18,51.5239
2020-03-17,42.7980
2020-03-16,34.5067
2020-03-13,45.5039
2020-03-12,42.3635
2020-03-11,60.0462
2020-03-10,59.6416
2020-03-09,73.3818
2020-03-06,78.1334
2020-03-05,81.5637
2020-03-04,82.3705
2020-03-03,80.7127
2020-03-02,84.1872
2020-02-28,81.0184
2020-02-27,75.5804
2020-02-26,74.5757
2020-02-25,83.2875
2020-02-24,65.8143
2020-02-21,64.8591
2020-02-20,44.5295
2020-02-19,49.2961
2020-02-18,28.4816
2020-02-14,19.4333
2020-02-13,16.5096
2020-02-12,16.7153
2020-02-11,14.3491
2020-02-10,13.3804
2020-02-07,12.3818
2020-02-06,12.9517
2020-02-05,12.5556
2020-02-04,10.8132
2020-02-03,14.2324
2020-01-31,13.9019
2020-01-30,17.8351
2020-01-29,17.9823
2020-01-28,18.0447
2020-01-27,21.6212
2020-01-24,15.1070
2020-01-23,14.5305
2020-01-22,10.8386
2020-01-21,9.1692
2020-01-17,12.1640
2020-01-16,8.8161
2020-01-15,21.2267
2020-01-14,18.5066
2020-01-13,36.4484
2020-01-10,36.3573
2020-01-09,52.9299
2020-01-08,54.4812
2020-01-07,64.5517
2020-01-06,67.9512
2020-01-03,67.2389
2020-01-02,71.2225
2019-12-31,63.2391
2019-12-30,62.5430
2019-12-27,58.6870
2019-12-26,55.9518
2019-12-24,54.6622
2019-12-23,57.5663
2019-12-20,54.1247
2019-12-19,50.4684
2019-12-18,50.3122
2019-12-17,54.3393
2019-12-16,54.7213
2019-12-13,46.1289
2019-12-12,60.7546
2019-12-11,63.6957
2019-12-10,74.4499
2019-12-09,72.4393
2019-12-06,83.6731
2019-12-05,87.2148
2019-12-04,81.9694
2019-12-03,91.3651
2019-12-02,68.6534
2019-11-29,67.3284
2019-11-27,49.8356
2019-11-26,47.2667
2019-11-25,42.7940
2019-11-22,34.9116
2019-11-21,46.2306
2019-11-20,46.2036
2019-11-19,50.5623
2019-11-18,57.5767
2019-11-15,52.5999
2019-11-14,47.9067
2019-11-13,43.8620
2019-11-12,52.3162
2019-11-11,38.4163
2019-11-08,31.3630
2019-11-07,24.7426
2019-11-06,31.5696
2019-11-05,19.8434
2019-11-04,11.2952
2019-11-01,13.8003
2019-10-31,16.6653
2019-10-30,20.1099
2019-10-29,13.4405
2019-10-28,26.1716
2019-10-25,30.2239
2019-10-24,37.2305
2019-10-23,34.8502
2019-10-22,39.0798
2019-10-21,46.6175
2019-10-18,45.0421
2019-10-17,35.7717
2019-10-16,46.4558
2019-10-15,52.7371
2019-10-14,58.0001
2019-10-11,50.8587
2019-10-10,63.8915
2019-10-09,70.4045
2019-10-08,71.4725
2019-10-07,70.4114
2019-10-04,64.2299
2019-10-03,73.6015
2019-10-02,47.9856
2019-10-01,48.6768
2019-09-30,24.5840
2019-09-27,21.6783
2019-09-26,9.8386
2019-09-25,3.3968
2019-09-24,5.4446
