Dates,BBANDS Values
2020-08-19,156.8850
2020-08-18,149.9202
2020-08-17,164.3450
2020-08-14,155.7280
2020-08-13,147.1110
2020-08-12,164.2016
2020-08-11,154.5340
2020-08-10,144.8664
2020-08-07,164.7833
2020-08-06,153.3200
2020-08-05,141.8567
2020-08-04,164.3112
2020-08-03,152.4430
2020-07-31,140.5748
2020-07-30,165.1027
2020-07-29,150.4780
2020-07-28,135.8533
2020-07-27,163.6606
2020-07-24,148.5690
2020-07-23,133.4774
2020-07-22,159.5776
2020-07-21,146.4250
2020-07-20,133.2724
2020-07-17,155.9339
2020-07-16,144.2180
2020-07-15,132.5021
2020-07-14,151.5353
2020-07-13,142.3750
2020-07-10,133.2147
2020-07-09,150.1058
2020-07-08,141.5870
2020-07-07,133.0682
2020-07-06,148.3618
2020-07-02,140.4850
2020-07-01,132.6082
2020-06-30,146.1652
2020-06-29,139.6150
2020-06-26,133.0648
2020-06-25,144.9739
2020-06-24,139.0900
2020-06-23,133.2061
2020-06-22,140.6650
2020-06-19,138.2470
2020-06-18,135.8290
2020-06-17,141.6508
2020-06-16,138.7010
2020-06-15,135.7512
2020-06-12,142.2603
2020-06-11,138.1910
2020-06-10,134.1217
2020-06-09,141.8347
2020-06-08,137.9100
2020-06-05,133.9853
2020-06-04,141.8153
2020-06-03,137.9540
2020-06-02,134.0927
2020-06-01,141.7862
2020-05-29,137.8640
2020-05-28,133.9418
2020-05-27,141.7168
2020-05-26,137.2160
2020-05-22,132.7152
2020-05-21,141.8846
2020-05-20,136.9160
2020-05-19,131.9474
2020-05-18,145.2984
2020-05-15,135.2870
2020-05-14,125.2756
2020-05-13,148.0251
2020-05-12,133.0030
2020-05-11,117.9809
2020-05-08,146.7142
2020-05-07,131.8310
2020-05-06,116.9478
2020-05-05,144.5747
2020-05-04,131.0510
2020-05-01,117.5273
2020-04-30,146.0268
2020-04-29,131.6170
2020-04-28,117.2072
2020-04-27,147.1056
2020-04-24,131.9830
2020-04-23,116.8604
2020-04-22,147.7375
2020-04-21,132.2320
2020-04-20,116.7265
2020-04-17,148.3369
2020-04-16,132.4770
2020-04-15,116.6171
2020-04-14,149.7721
2020-04-13,133.1910
2020-04-09,116.6099
2020-04-08,149.5281
2020-04-07,132.8840
2020-04-06,116.2399
2020-04-03,148.9239
2020-04-02,133.8080
2020-04-01,118.6921
2020-03-31,144.9274
2020-03-30,135.4450
2020-03-27,125.9626
2020-03-26,144.7470
2020-03-25,135.5180
2020-03-24,126.2890
2020-03-23,146.6350
2020-03-20,134.3510
2020-03-19,122.0670
2020-03-18,146.9154
2020-03-17,132.3280
2020-03-16,117.7406
2020-03-13,144.7952
2020-03-12,130.6530
2020-03-11,116.5108
2020-03-10,142.8126
2020-03-09,128.7990
2020-03-06,114.7854
2020-03-05,139.7505
2020-03-04,127.5880
2020-03-03,115.4255
2020-03-02,134.6908
2020-02-28,126.0900
2020-02-27,117.4892
2020-02-26,135.1624
2020-02-25,126.2300
2020-02-24,117.2976
2020-02-21,133.7917
2020-02-20,125.4950
2020-02-19,117.1983
2020-02-18,132.1224
2020-02-14,124.9920
2020-02-13,117.8616
2020-02-12,131.4881
2020-02-11,124.5330
2020-02-10,117.5779
2020-02-07,132.5608
2020-02-06,125.2660
2020-02-05,117.9712
2020-02-04,134.0858
2020-02-03,126.6210
2020-01-31,119.1562
2020-01-30,135.7670
2020-01-29,127.5450
2020-01-28,119.3230
2020-01-27,144.4882
2020-01-24,130.3650
2020-01-23,116.2418
2020-01-22,151.0070
2020-01-21,132.6980
2020-01-17,114.3890
2020-01-16,158.4416
2020-01-15,135.8430
2020-01-14,113.2444
2020-01-13,162.7395
2020-01-10,137.9960
2020-01-09,113.2525
2020-01-08,164.0185
2020-01-07,140.4520
2020-01-06,116.8855
2020-01-03,164.8544
2020-01-02,142.6160
2019-12-31,120.3776
2019-12-30,164.6460
2019-12-27,145.7240
2019-12-26,126.8020
2019-12-24,164.2531
2019-12-23,148.2310
2019-12-20,132.2089
2019-12-19,167.7127
2019-12-18,151.6400
2019-12-17,135.5673
2019-12-16,172.8398
2019-12-13,155.9000
2019-12-12,138.9602
2019-12-11,179.0168
2019-12-10,158.7020
2019-12-09,138.3872
2019-12-06,185.1555
2019-12-05,161.7570
2019-12-04,138.3585
2019-12-03,190.8732
2019-12-02,164.4150
2019-11-29,137.9568
2019-11-27,195.8881
2019-11-26,167.6550
2019-11-25,139.4219
2019-11-22,196.7111
2019-11-21,170.7790
2019-11-20,144.8469
2019-11-19,196.1332
2019-11-18,174.0890
2019-11-15,152.0448
2019-11-14,195.0107
2019-11-13,176.9540
2019-11-12,158.8973
2019-11-11,189.3727
2019-11-08,179.1360
2019-11-07,168.8993
2019-11-06,187.0382
2019-11-05,179.9350
2019-11-04,172.8318
2019-11-01,187.1388
2019-10-31,179.8640
2019-10-30,172.5892
2019-10-29,187.0997
2019-10-28,179.9690
2019-10-25,172.8383
2019-10-24,186.8676
2019-10-23,179.7390
2019-10-22,172.6104
2019-10-21,186.6035
2019-10-18,179.6490
2019-10-17,172.6945
2019-10-16,189.3579
2019-10-15,180.1690
2019-10-14,170.9801
2019-10-11,192.4181
2019-10-10,181.2600
2019-10-09,170.1019
2019-10-08,194.9676
2019-10-07,182.2160
2019-10-04,169.4644
2019-10-03,198.2891
2019-10-02,183.4200
2019-10-01,168.5509
2019-09-30,200.3877
2019-09-27,185.1720
2019-09-26,169.9563
2019-09-25,200.1616
2019-09-24,186.4850
2019-09-23,172.8084
2019-09-20,199.3045
2019-09-19,187.8600
2019-09-18,176.4155
2019-09-17,198.3226
2019-09-16,188.9680
2019-09-13,179.6134
2019-09-12,196.5400
2019-09-11,189.7000
2019-09-10,182.8600
2019-09-09,195.5196
2019-09-06,190.5390
2019-09-05,185.5584
2019-09-04,195.6798
2019-09-03,190.0110
2019-08-30,184.3422
2019-08-29,196.1272
2019-08-28,190.2180
2019-08-27,184.3088
2019-08-26,195.9344
2019-08-23,190.0870
2019-08-22,184.2396
2019-08-21,194.3907
2019-08-20,189.4950
2019-08-19,184.5993
2019-08-16,194.8654
2019-08-15,188.1040
2019-08-14,181.3426
2019-08-13,196.9725
2019-08-12,186.8400
2019-08-09,176.7075
2019-08-08,197.3766
2019-08-07,185.5680
2019-08-06,173.7594
2019-08-05,196.7763
2019-08-02,184.5020
2019-08-01,172.2277
2019-07-31,196.4661
2019-07-30,183.7540
2019-07-29,171.0419
2019-07-26,194.9956
2019-07-25,182.0300
2019-07-24,169.0644
2019-07-23,195.0904
2019-07-22,180.3570
2019-07-19,165.6236
2019-07-18,191.3721
2019-07-17,179.1580
2019-07-16,166.9439
2019-07-15,190.7716
2019-07-12,179.0240
2019-07-11,167.2764
2019-07-10,195.2790
2019-07-09,179.9060
2019-07-08,164.5330
2019-07-05,199.2224
2019-07-03,181.4080
2019-07-02,163.5936
2019-07-01,206.6838
2019-06-28,184.3900
2019-06-27,162.0962
2019-06-26,210.6153
2019-06-25,186.9150
2019-06-24,163.2147
2019-06-21,212.7855
2019-06-20,188.9190
2019-06-19,165.0525
2019-06-18,213.8660
2019-06-17,190.7050
2019-06-14,167.5440
2019-06-13,213.7675
2019-06-12,193.1990
2019-06-11,172.6305
2019-06-10,212.3112
2019-06-07,197.1850
2019-06-06,182.0588
2019-06-05,214.1185
2019-06-04,200.4590
2019-06-03,186.7995
2019-05-31,218.7298
2019-05-30,203.4670
2019-05-29,188.2042
2019-05-28,222.3603
2019-05-24,205.4590
2019-05-23,188.5577
2019-05-22,222.4761
2019-05-21,206.9720
2019-05-20,191.4679
2019-05-17,223.4392
2019-05-16,207.6680
2019-05-15,191.8968
2019-05-14,225.8451
2019-05-13,209.3950
2019-05-10,192.9449
2019-05-09,226.2072
2019-05-08,211.1380
2019-05-07,196.0688
2019-05-06,224.2639
2019-05-03,212.8230
2019-05-02,201.3821
2019-05-01,220.8447
2019-04-30,214.1410
2019-04-29,207.4373
2019-04-26,221.4912
2019-04-25,213.8830
2019-04-24,206.2748
2019-04-23,222.0093
2019-04-22,213.1640
2019-04-18,204.3187
2019-04-17,220.5362
2019-04-16,212.0230
2019-04-15,203.5098
2019-04-12,218.9163
2019-04-11,211.0840
2019-04-10,203.2517
2019-04-09,220.3072
2019-04-08,210.1040
2019-04-05,199.9008
2019-04-04,223.2906
2019-04-03,207.9310
2019-04-02,192.5714
2019-04-01,221.9921
2019-03-29,205.0310
2019-03-28,188.0699
2019-03-27,219.2563
2019-03-26,202.8720
2019-03-25,186.4877
2019-03-22,216.8694
2019-03-21,201.9550
2019-03-20,187.0406
2019-03-19,214.6867
2019-03-18,201.1830
2019-03-15,187.6793
2019-03-14,214.4409
2019-03-13,201.0820
2019-03-12,187.7231
2019-03-11,217.1422
2019-03-08,201.8620
2019-03-07,186.5818
2019-03-06,220.4151
2019-03-05,202.8180
2019-03-04,185.2209
2019-03-01,226.4700
2019-02-28,204.4850
2019-02-27,182.5000
2019-02-26,232.2392
2019-02-25,207.0570
2019-02-22,181.8748
2019-02-21,234.7714
2019-02-20,210.3900
2019-02-19,186.0086
2019-02-15,233.4897
2019-02-14,213.1600
2019-02-13,192.8303
2019-02-12,231.3009
2019-02-11,215.3350
2019-02-08,199.3691
2019-02-07,230.6159
2019-02-06,215.8560
2019-02-05,201.0961
2019-02-04,229.5738
2019-02-01,216.9860
2019-01-31,204.3982
2019-01-30,228.3690
2019-01-29,217.5760
2019-01-28,206.7830
2019-01-25,228.4173
2019-01-24,217.4640
2019-01-23,206.5107
2019-01-22,228.3136
2019-01-18,217.1190
2019-01-17,205.9244
2019-01-16,226.4917
2019-01-15,215.4040
2019-01-14,204.3163
2019-01-11,224.4910
2019-01-10,212.9400
2019-01-09,201.3890
2019-01-08,221.2746
2019-01-07,210.8210
2019-01-04,200.3674
2019-01-03,219.6696
2019-01-02,209.4420
2018-12-31,199.2144
2018-12-28,217.8217
2018-12-27,208.4530
2018-12-26,199.0843
2018-12-24,217.6947
2018-12-21,207.8390
2018-12-20,197.9833
2018-12-19,215.3021
2018-12-18,206.7110
2018-12-17,198.1199
2018-12-14,214.2074
2018-12-13,205.7460
2018-12-12,197.2846
2018-12-11,212.0265
2018-12-10,204.3910
2018-12-07,196.7555
2018-12-06,211.8820
