Dates,HT_SINE Values
2019-09-11,-0.2768
2019-09-10,-0.8752
2019-09-09,-0.3247
2019-09-06,-0.8984
2019-09-05,-0.4314
2019-09-04,-0.9430
2019-09-03,-0.1563
2019-08-30,-0.8089
2019-08-29,0.1186
2019-08-28,-0.6183
2019-08-27,0.4861
2019-08-26,-0.2742
2019-08-23,0.9251
2019-08-22,0.3856
2019-08-21,0.9981
2019-08-20,0.6619
2019-08-19,0.9722
2019-08-16,0.8530
2019-08-15,0.8163
2019-08-14,0.9857
2019-08-13,0.6711
2019-08-12,0.9988
2019-08-09,0.4982
2019-08-08,0.9654
2019-08-07,0.3107
2019-08-06,0.8918
2019-08-05,0.1701
2019-08-02,0.8171
2019-08-01,0.0681
2019-07-31,0.7536
2019-07-30,-0.0285
2019-07-29,0.6866
2019-07-26,-0.1020
2019-07-25,0.6313
2019-07-24,-0.1628
2019-07-23,0.5826
2019-07-22,-0.1958
2019-07-19,0.5550
2019-07-18,-0.1485
2019-07-17,0.5943
2019-07-16,-0.0576
2019-07-15,0.6652
2019-07-12,-0.1854
2019-07-11,0.5637
2019-07-10,-0.2705
2019-07-09,0.4895
2019-07-08,-0.2370
2019-07-05,0.5194
2019-07-03,-0.1084
2019-07-02,0.6263
2019-07-01,0.0735
2019-06-28,0.7572
2019-06-27,0.1656
2019-06-26,0.8144
2019-06-25,0.2994
2019-06-24,0.8864
2019-06-21,0.3794
2019-06-20,0.9225
2019-06-19,0.2047
2019-06-18,0.8369
2019-06-17,0.0606
2019-06-14,0.7487
2019-06-13,-0.1766
2019-06-12,0.5711
2019-06-11,-0.4443
2019-06-10,0.3193
2019-06-07,-0.7180
2019-06-06,-0.0156
2019-06-05,-0.9119
2019-06-04,-0.3546
2019-06-03,-0.9907
2019-05-31,-0.6043
2019-05-30,-0.9956
2019-05-29,-0.7705
2019-05-28,-0.9540
2019-05-24,-0.8866
2019-05-23,-0.8779
2019-05-22,-0.9594
2019-05-21,-0.7751
2019-05-20,-0.9948
2019-05-17,-0.6487
2019-05-16,-0.9968
2019-05-15,-0.4198
2019-05-14,-0.9386
2019-05-13,-0.2501
2019-05-10,-0.8615
