Dates,MAMA Values
2021-01-14,206.1605
2021-01-13,226.3029
2021-01-12,206.4051
2021-01-11,226.4042
2021-01-08,206.6429
2021-01-07,226.5047
2021-01-06,206.9496
2021-01-05,226.6045
2021-01-04,207.2720
2020-12-31,226.7032
2020-12-30,207.5960
2020-12-29,226.8009
2020-12-28,207.8952
2020-12-24,226.8974
2020-12-23,208.1899
2020-12-22,226.9929
2020-12-21,208.4479
2020-12-18,227.0874
2020-12-17,208.6223
2020-12-16,227.1810
2020-12-15,208.8027
2020-12-14,227.2743
2020-12-11,208.9775
2020-12-10,227.3671
2020-12-09,209.1196
2020-12-08,227.4595
2020-12-07,209.2743
2020-12-04,227.5517
2020-12-03,209.4876
2020-12-02,227.6435
2020-12-01,209.6951
2020-11-30,227.7348
2020-11-27,209.9036
2020-11-25,227.8254
2020-11-24,210.1447
2020-11-23,227.9155
2020-11-20,210.3376
2020-11-19,228.0048
2020-11-18,210.5845
2020-11-17,228.0936
2020-11-16,210.7638
2020-11-13,228.1815
2020-11-12,210.9716
2020-11-11,228.2691
2020-11-10,211.1937
2020-11-09,228.3560
2020-11-06,211.5099
2020-11-05,228.4422
2020-11-04,211.8734
2020-11-03,228.5273
2020-11-02,212.2334
2020-10-30,228.6110
2020-10-29,212.5753
2020-10-28,228.6933
2020-10-27,212.9189
2020-10-26,228.7743
2020-10-23,213.3140
2020-10-22,228.8540
2020-10-21,213.7599
2020-10-20,228.9321
2020-10-19,214.0924
2020-10-16,229.0083
2020-10-15,214.3474
2020-10-14,229.0833
2020-10-13,214.5145
2020-10-12,229.1573
2020-10-09,214.7125
2020-10-08,229.2309
2020-10-07,214.8072
2020-10-06,229.3039
2020-10-05,214.9418
2020-10-02,229.3767
2020-10-01,215.1086
2020-09-30,229.4492
2020-09-29,215.2973
2020-09-28,229.5213
2020-09-25,215.4646
2020-09-24,229.5928
2020-09-23,215.5296
2020-09-22,229.6638
2020-09-21,215.5493
2020-09-18,229.7348
2020-09-17,215.5151
2020-09-16,229.8061
2020-09-15,215.4927
2020-09-14,229.8779
2020-09-11,215.5478
2020-09-10,229.9502
2020-09-09,215.5806
2020-09-08,230.0226
2020-09-04,215.5486
2020-09-03,230.0951
2020-09-02,215.5455
2020-09-01,230.1682
2020-08-31,215.5685
2020-08-28,230.2417
2020-08-27,215.6053
2020-08-26,230.3155
2020-08-25,215.6978
2020-08-24,230.3894
2020-08-21,215.7918
2020-08-20,230.4632
2020-08-19,215.8754
2020-08-18,230.5369
2020-08-17,215.9515
2020-08-14,230.6106
2020-08-13,216.1102
2020-08-12,230.6843
2020-08-11,216.3682
2020-08-10,230.7575
2020-08-07,216.6370
2020-08-06,230.8298
2020-08-05,216.8630
2020-08-04,230.9011
2020-08-03,216.9919
2020-07-31,230.9717
2020-07-30,217.1211
2020-07-29,231.0419
2020-07-28,217.2391
2020-07-27,231.1119
2020-07-24,217.2699
2020-07-23,231.1816
2020-07-22,217.2718
2020-07-21,231.2515
2020-07-20,217.1936
2020-07-17,231.3217
2020-07-16,217.1051
2020-07-15,231.3927
2020-07-14,217.0364
2020-07-13,231.4645
2020-07-10,217.0323
2020-07-09,231.5370
2020-07-08,217.0425
2020-07-07,231.6099
2020-07-06,217.1206
2020-07-02,231.6831
2020-07-01,217.1370
2020-06-30,231.7563
2020-06-29,217.1955
2020-06-26,231.8298
2020-06-25,217.2372
2020-06-24,231.9033
2020-06-23,217.2736
2020-06-22,231.9770
2020-06-19,217.3687
2020-06-18,232.0509
2020-06-17,217.5308
2020-06-16,232.1247
2020-06-15,217.6805
2020-06-12,232.1980
2020-06-11,217.8222
2020-06-10,232.2710
2020-06-09,217.9403
2020-06-08,232.3436
2020-06-05,218.0894
2020-06-04,232.4160
2020-06-03,218.2295
2020-06-02,232.4879
2020-06-01,218.3966
2020-05-29,232.5596
2020-05-28,218.5873
2020-05-27,232.6308
2020-05-26,218.8914
2020-05-22,232.7013
2020-05-21,219.1567
2020-05-20,232.7707
2020-05-19,219.4432
2020-05-18,232.8391
2020-05-15,219.6858
2020-05-14,232.9065
2020-05-13,219.9301
2020-05-12,232.9729
2020-05-11,220.1576
2020-05-08,233.0384
2020-05-07,220.3101
2020-05-06,233.1032
2020-05-05,220.4389
2020-05-04,233.1675
2020-05-01,220.5340
2020-04-30,233.2314
2020-04-29,220.6522
2020-04-28,233.2952
2020-04-27,220.8014
2020-04-24,233.3588
2020-04-23,221.0268
2020-04-22,233.4219
2020-04-21,221.2151
2020-04-20,233.4841
2020-04-17,221.5487
2020-04-16,233.5458
2020-04-15,221.7881
2020-04-14,233.6061
2020-04-13,222.0233
