Dates,NATR Values
2021-02-25,4.0225
2021-02-24,3.5094
2021-02-23,3.2725
2021-02-22,3.1978
2021-02-19,2.9881
2021-02-18,2.9751
2021-02-17,2.8141
2021-02-16,2.7944
2021-02-12,2.8581
2021-02-11,2.9964
2021-02-10,3.0254
2021-02-09,2.9825
2021-02-08,2.9531
2021-02-05,3.1277
2021-02-04,3.0856
2021-02-03,3.2095
2021-02-02,3.2814
2021-02-01,3.3330
2021-01-29,3.4761
2021-01-28,3.3268
2021-01-27,3.3915
2021-01-26,3.0572
2021-01-25,3.0167
2021-01-22,2.9585
2021-01-21,3.0941
2021-01-20,3.0785
2021-01-19,3.1752
2021-01-15,3.2468
2021-01-14,3.2093
2021-01-13,3.2380
2021-01-12,3.3670
2021-01-11,3.5421
2021-01-08,3.4068
2021-01-07,3.4247
2021-01-06,3.5423
2021-01-05,3.5955
2021-01-04,3.5880
2020-12-31,3.1749
2020-12-30,3.2698
2020-12-29,3.4250
2020-12-28,3.4854
2020-12-24,3.6472
2020-12-23,3.8119
2020-12-22,3.9675
2020-12-21,4.0841
2020-12-18,4.0914
2020-12-17,4.2717
2020-12-16,4.2574
2020-12-15,4.3132
2020-12-14,4.4152
2020-12-11,4.4227
2020-12-10,4.4542
2020-12-09,4.5692
2020-12-08,4.3902
2020-12-07,4.5075
2020-12-04,4.5829
2020-12-03,4.6243
2020-12-02,4.5436
2020-12-01,4.5392
2020-11-30,4.7094
2020-11-27,4.6174
2020-11-25,4.9057
2020-11-24,5.0265
2020-11-23,5.1690
2020-11-20,5.2739
2020-11-19,5.2871
2020-11-18,5.4217
2020-11-17,4.7715
2020-11-16,4.6704
2020-11-13,4.6734
2020-11-12,4.8346
2020-11-11,4.7029
2020-11-10,4.4796
2020-11-09,4.3325
2020-11-06,3.5915
2020-11-05,3.7277
2020-11-04,3.8514
2020-11-03,3.9171
2020-11-02,4.0352
2020-10-30,4.1364
2020-10-29,3.9064
2020-10-28,4.0824
2020-10-27,3.8103
2020-10-26,3.6838
2020-10-23,3.3817
2020-10-22,3.4427
2020-10-21,3.5556
2020-10-20,3.6177
2020-10-19,3.8160
2020-10-16,3.9199
2020-10-15,3.8169
2020-10-14,3.8715
2020-10-13,4.1232
2020-10-12,4.0895
2020-10-09,4.3286
2020-10-08,4.5800
2020-10-07,4.8866
2020-10-06,5.1282
2020-10-05,4.2566
2020-10-02,4.5152
2020-10-01,4.4953
2020-09-30,4.5691
2020-09-29,4.6270
2020-09-28,4.7921
2020-09-25,4.8151
2020-09-24,4.9350
2020-09-23,4.8445
2020-09-22,4.5146
2020-09-21,4.6669
2020-09-18,4.5528
2020-09-17,4.2887
2020-09-16,4.2759
2020-09-15,4.1691
2020-09-14,4.2100
2020-09-11,4.3390
2020-09-10,4.5437
