Dates,HT_DCPHASE Values
2020-01-09,46.9254
2020-01-08,38.4637
2020-01-07,31.5493
2020-01-06,28.2424
2020-01-03,24.9671
2020-01-02,19.6921
2019-12-31,15.2689
2019-12-30,11.4529
2019-12-27,4.6974
2019-12-26,-3.5049
2019-12-24,-9.7483
2019-12-23,-16.4740
2019-12-20,-23.7785
2019-12-19,-36.3655
2019-12-18,314.9555
2019-12-17,299.4724
2019-12-16,282.3578
2019-12-13,265.4429
2019-12-12,250.3032
2019-12-11,244.9252
2019-12-10,244.0046
2019-12-09,238.2106
2019-12-06,228.2602
2019-12-05,222.0833
2019-12-04,212.0587
2019-12-03,203.7540
2019-12-02,198.5314
2019-11-29,194.4772
2019-11-27,191.9046
2019-11-26,187.9082
2019-11-25,186.1211
2019-11-22,180.0207
2019-11-21,177.4657
2019-11-20,174.5425
2019-11-19,163.1546
2019-11-18,159.8813
2019-11-15,143.8566
2019-11-14,127.1126
2019-11-13,121.5752
2019-11-12,103.6878
2019-11-11,86.6053
2019-11-08,63.2966
2019-11-07,50.4567
2019-11-06,32.9511
2019-11-05,21.5268
2019-11-04,7.0559
2019-11-01,-0.3090
2019-10-31,-6.3758
2019-10-30,-11.1140
2019-10-29,-16.1440
2019-10-28,-20.4870
2019-10-25,-24.6696
2019-10-24,-27.3791
2019-10-23,-28.5160
2019-10-22,-22.5133
2019-10-21,-13.7680
2019-10-18,-11.5867
2019-10-17,-15.0785
2019-10-16,-42.1635
2019-10-15,299.9034
2019-10-14,275.3087
2019-10-11,263.3565
2019-10-10,259.4739
2019-10-09,262.7964
2019-10-08,266.0779
2019-10-07,260.7743
2019-10-04,248.3319
2019-10-03,241.7120
2019-10-02,229.7264
2019-10-01,223.4879
2019-09-30,214.3507
2019-09-27,205.5657
2019-09-26,198.0562
2019-09-25,191.2546
2019-09-24,182.1468
2019-09-23,176.7880
2019-09-20,181.2730
2019-09-19,186.2865
2019-09-18,192.9291
2019-09-17,200.2735
2019-09-16,201.3423
2019-09-13,199.1172
2019-09-12,191.5897
2019-09-11,187.8531
2019-09-10,180.5671
2019-09-09,173.6938
2019-09-06,160.8462
2019-09-05,141.6582
2019-09-04,129.8317
2019-09-03,109.8810
2019-08-30,97.1559
2019-08-29,84.9620
2019-08-28,73.1750
2019-08-27,71.9821
2019-08-26,65.6390
2019-08-23,62.4017
2019-08-22,52.2304
2019-08-21,46.9485
2019-08-20,40.5465
2019-08-19,38.9093
2019-08-16,37.7529
2019-08-15,37.1167
2019-08-14,30.3151
2019-08-13,28.6083
2019-08-12,19.2608
2019-08-09,8.6515
2019-08-08,-2.6830
2019-08-07,-13.9816
2019-08-06,-26.3312
2019-08-05,-39.9501
2019-08-02,305.6421
2019-08-01,296.0556
2019-07-31,277.0096
2019-07-30,255.2000
2019-07-29,230.8343
