Dates,HT_PHASOR Values
2020-03-13,16.3440
2020-03-12,6.3171
2020-03-11,10.5472
2020-03-10,7.1966
2020-03-09,2.4601
2020-03-06,8.2194
2020-03-05,11.9021
2020-03-04,3.1540
2020-03-03,23.8299
2020-03-02,-3.4397
2020-02-28,19.4690
2020-02-27,-5.9925
2020-02-26,11.0975
2020-02-25,-7.7697
2020-02-24,1.7217
2020-02-21,-5.7098
2020-02-20,-4.2280
2020-02-19,-4.9482
2020-02-18,-1.6338
2020-02-14,-4.9736
2020-02-13,-2.8133
2020-02-12,-3.4305
2020-02-11,-1.7375
2020-02-10,-3.6501
2020-02-07,3.7154
2020-02-06,-5.1421
2020-02-05,5.7298
2020-02-04,-6.6394
2020-02-03,6.7084
2020-01-31,-8.8753
2020-01-30,1.2455
2020-01-29,-7.7590
2020-01-28,-7.4756
2020-01-27,-4.8287
2020-01-24,-10.4413
2020-01-23,-1.6484
2020-01-22,-10.5098
2020-01-21,1.1037
2020-01-17,-6.8442
2020-01-16,1.8720
2020-01-15,-2.7693
2020-01-14,2.1440
2020-01-13,-1.1679
2020-01-10,1.8942
2020-01-09,0.6426
2020-01-08,1.5861
2020-01-07,-2.2350
2020-01-06,3.6847
2020-01-03,0.2280
2020-01-02,1.3930
2019-12-31,1.8140
2019-12-30,1.8859
2019-12-27,-2.4714
2019-12-26,2.1840
2019-12-24,-3.6291
2019-12-23,3.7792
2019-12-20,-10.3408
2019-12-19,8.5840
2019-12-18,-6.2930
2019-12-17,8.7012
2019-12-16,1.8460
2019-12-13,7.8502
2019-12-12,8.7697
2019-12-11,1.7229
2019-12-10,13.0457
2019-12-09,-2.6626
2019-12-06,4.8388
2019-12-05,-1.4724
2019-12-04,-1.3139
2019-12-03,-0.1594
2019-12-02,-2.2875
2019-11-29,0.9530
2019-11-27,-0.5966
2019-11-26,0.2321
2019-11-25,1.1179
2019-11-22,0.2338
2019-11-21,2.5872
2019-11-20,-1.5524
2019-11-19,5.2313
2019-11-18,-3.7346
2019-11-15,3.8212
2019-11-14,-4.6916
2019-11-13,2.2713
2019-11-12,-5.8421
2019-11-11,-1.6414
2019-11-08,-3.3176
2019-11-07,-6.0943
2019-11-06,-0.4739
2019-11-05,-3.8747
2019-11-04,-0.1501
2019-11-01,-1.2732
2019-10-31,-0.2037
2019-10-30,0.2371
2019-10-29,-1.0284
2019-10-28,-0.5787
2019-10-25,-0.0334
2019-10-24,-2.5699
2019-10-23,0.5710
2019-10-22,-2.5282
2019-10-21,1.8450
2019-10-18,-4.0797
2019-10-17,4.9637
2019-10-16,0.9147
2019-10-15,2.9938
2019-10-14,11.8479
2019-10-11,-3.7396
2019-10-10,19.6454
2019-10-09,-12.2549
2019-10-08,16.0456
2019-10-07,-15.1123
2019-10-04,5.2838
2019-10-03,-15.4150
2019-10-02,-3.0777
2019-10-01,-12.9590
2019-09-30,-12.9843
2019-09-27,-6.3378
2019-09-26,-18.3732
2019-09-25,0.1764
2019-09-24,-17.0967
2019-09-23,5.4565
2019-09-20,-11.3278
2019-09-19,7.2696
2019-09-18,-2.3025
2019-09-17,5.7675
2019-09-16,3.0169
2019-09-13,4.4381
2019-09-12,3.1277
2019-09-11,3.9478
2019-09-10,5.1670
2019-09-09,1.1108
2019-09-06,6.0580
2019-09-05,-0.4134
2019-09-04,2.2357
2019-09-03,-0.7348
2019-08-30,-0.1471
2019-08-29,-1.0811
2019-08-28,-5.3055
2019-08-27,3.2865
2019-08-26,-11.9298
2019-08-23,8.7568
2019-08-22,-4.5414
2019-08-21,5.9104
2019-08-20,3.3099
2019-08-19,4.6375
2019-08-16,-2.3955
2019-08-15,7.3914
2019-08-14,-1.0163
2019-08-13,6.6360
2019-08-12,4.3854
2019-08-09,6.3683
2019-08-08,9.5688
2019-08-07,1.7744
2019-08-06,24.5555
2019-08-05,-10.0756
2019-08-02,25.9634
2019-08-01,-14.8922
2019-07-31,7.4624
2019-07-30,-12.7560
2019-07-29,-1.5078
2019-07-26,-12.6752
2019-07-25,-4.6023
2019-07-24,-10.7478
2019-07-23,-12.1418
2019-07-22,-4.3108
2019-07-19,-14.6899
2019-07-18,1.5034
2019-07-17,-7.6161
2019-07-16,1.6023
2019-07-15,3.4619
2019-07-12,-3.0141
2019-07-11,6.6861
2019-07-10,-4.6204
2019-07-09,1.4703
2019-07-08,-3.2048
2019-07-05,1.3933
2019-07-03,-3.9039
2019-07-02,3.9780
2019-07-01,-5.1854
2019-06-28,7.0764
2019-06-27,-9.7562
2019-06-26,4.5652
2019-06-25,-10.3005
2019-06-24,-11.2572
2019-06-21,-2.9605
2019-06-20,-24.0101
2019-06-19,5.8773
2019-06-18,-17.1357
2019-06-17,7.0164
2019-06-14,0.5712
2019-06-13,4.0571
2019-06-12,4.9884
2019-06-11,4.1971
2019-06-10,11.3330
2019-06-07,-1.8231
2019-06-06,19.5725
2019-06-05,-7.5961
2019-06-04,9.9875
2019-06-03,-7.4445
2019-05-31,-1.0802
2019-05-30,-5.1442
2019-05-29,-3.3233
2019-05-28,-4.5934
2019-05-24,0.2738
2019-05-23,-5.8762
2019-05-22,-1.2675
2019-05-21,-4.5005
2019-05-20,-3.1222
2019-05-17,-4.3988
2019-05-16,-3.6850
2019-05-15,-2.4777
2019-05-14,-6.8672
2019-05-13,-0.4813
2019-05-10,-4.3228
2019-05-09,-1.0777
2019-05-08,-3.8015
2019-05-07,-0.8170
2019-05-06,-12.1452
2019-05-03,5.2143
2019-05-02,-24.5202
2019-05-01,14.0475
2019-04-30,-13.9033
2019-04-29,12.2232
2019-04-26,-3.0483
2019-04-25,13.6773
2019-04-24,-6.3877
2019-04-23,14.5909
2019-04-22,-0.0200
2019-04-18,13.8033
2019-04-17,-0.5329
2019-04-16,15.7593
2019-04-15,3.5403
2019-04-12,13.3665
2019-04-11,14.4167
2019-04-10,7.3678
2019-04-09,20.5849
2019-04-08,0.8998
2019-04-05,12.7852
2019-04-04,1.3354
2019-04-03,1.7398
2019-04-02,2.4750
2019-04-01,3.8465
2019-03-29,1.2675
2019-03-28,8.7980
2019-03-27,-2.9193
2019-03-26,13.1229
2019-03-25,-8.5263
2019-03-22,5.0381
2019-03-21,-6.8810
2019-03-20,-6.8534
2019-03-19,-2.0852
2019-03-18,-7.7720
2019-03-15,0.8562
2019-03-14,-2.4019
2019-03-13,-0.3551
2019-03-12,6.0366
2019-03-11,-5.3231
2019-03-08,5.8781
2019-03-07,-5.1961
2019-03-06,-1.1888
2019-03-05,-3.4119
2019-03-04,-0.0053
2019-03-01,-4.6637
2019-02-28,0.0189
2019-02-27,-4.4159
2019-02-26,-3.4674
2019-02-25,-3.5210
2019-02-22,-7.3705
2019-02-21,0.6043
2019-02-20,-9.9019
2019-02-19,4.7334
2019-02-15,-1.5904
2019-02-14,2.5658
2019-02-13,10.7245
