Dates,CMO Values
2021-03-17,3.2889
2021-03-16,2.5218
2021-03-15,3.5378
2021-03-12,3.8878
2021-03-11,2.3012
2021-03-10,1.6754
2021-03-09,0.2698
2021-03-08,-0.3679
2021-03-05,-0.4466
2021-03-04,-0.3036
2021-03-03,0.0661
2021-03-02,-0.4556
2021-03-01,-0.3362
2021-02-26,-1.5364
2021-02-25,-1.1143
2021-02-24,0.1255
2021-02-23,-1.5672
2021-02-22,-1.4939
2021-02-19,-1.0510
2021-02-18,-1.9442
2021-02-17,-1.2642
2021-02-16,-1.1032
2021-02-12,-1.7193
2021-02-11,-1.7511
2021-02-10,-1.6305
2021-02-09,-1.3243
2021-02-08,-1.6361
2021-02-05,-2.0323
2021-02-04,-1.7755
2021-02-03,-2.0949
2021-02-02,-2.7315
2021-02-01,-3.2379
2021-01-29,-3.4020
2021-01-28,-3.1197
2021-01-27,-3.4363
2021-01-26,-2.6903
2021-01-25,-2.5691
2021-01-22,-2.3382
2021-01-21,-2.1921
2021-01-20,-1.8162
2021-01-19,-1.8876
2021-01-15,-2.5049
2021-01-14,-1.9880
2021-01-13,-2.2485
2021-01-12,-2.1380
2021-01-11,-2.2934
2021-01-08,-2.0086
2021-01-07,-1.7511
2021-01-06,-1.9104
2021-01-05,-1.8558
2021-01-04,-2.7004
2020-12-31,-1.6678
2020-12-30,-1.4283
2020-12-29,-1.4679
2020-12-28,-1.4829
2020-12-24,-1.3867
2020-12-23,-1.1566
2020-12-22,-1.2408
2020-12-21,-1.1932
2020-12-18,-1.1538
2020-12-17,-1.0208
2020-12-16,-0.6073
2020-12-15,-0.2824
2020-12-14,-0.3616
2020-12-11,-0.2093
2020-12-10,0.1559
2020-12-09,-0.0547
2020-12-08,0.3460
2020-12-07,0.4882
2020-12-04,0.0070
2020-12-03,0.4043
2020-12-02,-0.7801
2020-12-01,-1.7577
2020-11-30,-1.9665
2020-11-27,-1.4600
2020-11-25,-1.3628
2020-11-24,-1.2860
2020-11-23,-1.9106
2020-11-20,-2.9920
2020-11-19,-2.4689
2020-11-18,-2.6847
2020-11-17,-2.1004
2020-11-16,-2.7964
2020-11-13,-4.2092
2020-11-12,-5.1867
2020-11-11,-4.7220
2020-11-10,-4.1590
2020-11-09,-5.0400
2020-11-06,-7.1292
2020-11-05,-7.1930
2020-11-04,-7.7290
2020-11-03,-7.5589
2020-11-02,-8.0546
2020-10-30,-8.4692
2020-10-29,-8.1443
2020-10-28,-8.1590
2020-10-27,-7.5675
2020-10-26,-7.0989
2020-10-23,-6.5481
2020-10-22,-6.4035
2020-10-21,-6.9049
2020-10-20,-6.6209
2020-10-19,-6.6333
2020-10-16,-6.6133
2020-10-15,-6.9090
2020-10-14,-7.0040
2020-10-13,-7.1082
2020-10-12,-6.6802
2020-10-09,-6.6820
2020-10-08,-6.6273
2020-10-07,-6.9433
2020-10-06,-7.4170
2020-10-05,-6.4689
2020-10-02,-6.7600
2020-10-01,-6.7805
2020-09-30,-7.0219
2020-09-29,-7.1759
2020-09-28,-6.9769
2020-09-25,-7.9094
2020-09-24,-8.8467
2020-09-23,-8.4399
2020-09-22,-7.9924
2020-09-21,-8.0344
2020-09-18,-7.6534
2020-09-17,-7.1427
2020-09-16,-7.1491
2020-09-15,-7.5149
