Dates,TEMA Values
2021-01-21,208.3542
2021-01-20,209.0628
2021-01-19,207.4482
2021-01-15,205.6521
2021-01-14,207.4236
2021-01-13,206.4380
2021-01-12,206.9643
2021-01-11,207.1291
2021-01-08,208.6627
2021-01-07,209.0443
2021-01-06,207.9428
2021-01-05,207.7092
2021-01-04,207.2760
2020-12-31,212.9399
2020-12-30,213.9668
2020-12-29,213.9761
2020-12-28,214.5319
2020-12-24,215.7317
2020-12-23,217.0605
2020-12-22,217.5800
2020-12-21,219.2144
2020-12-18,221.5063
2020-12-17,224.7775
2020-12-16,228.7052
2020-12-15,231.3893
2020-12-14,232.8100
2020-12-11,235.3033
2020-12-10,237.5372
2020-12-09,237.6756
2020-12-08,238.9657
2020-12-07,237.2511
2020-12-04,233.0075
2020-12-03,229.7727
2020-12-02,221.3958
2020-12-01,217.4895
2020-11-30,218.5428
2020-11-27,221.1146
2020-11-25,220.3762
2020-11-24,217.8036
2020-11-23,212.6518
2020-11-20,208.9699
2020-11-19,210.7622
2020-11-18,208.4984
2020-11-17,205.8211
2020-11-16,196.4147
2020-11-13,186.8469
2020-11-12,182.3171
2020-11-11,182.0039
2020-11-10,177.3009
2020-11-09,165.4536
2020-11-06,153.9432
2020-11-05,151.4355
2020-11-04,148.3022
2020-11-03,147.5662
2020-11-02,145.4325
2020-10-30,146.0543
2020-10-29,150.2097
2020-10-28,154.0974
2020-10-27,160.2192
2020-10-26,164.6540
2020-10-23,167.4943
2020-10-22,167.2761
2020-10-21,165.7623
2020-10-20,166.9897
2020-10-19,166.4918
2020-10-16,165.7982
2020-10-15,164.5835
2020-10-14,164.8651
2020-10-13,165.9361
2020-10-12,168.2033
2020-10-09,167.9538
2020-10-08,167.4741
2020-10-07,166.1940
2020-10-06,166.4637
2020-10-05,170.1183
2020-10-02,167.4871
2020-10-01,165.4949
2020-09-30,162.5503
2020-09-29,159.8610
2020-09-28,156.9954
2020-09-25,151.1990
2020-09-24,149.6220
2020-09-23,154.3010
2020-09-22,158.0351
2020-09-21,159.9740
2020-09-18,163.2811
2020-09-17,165.0350
2020-09-16,163.3927
2020-09-15,161.1074
2020-09-14,160.5557
2020-09-11,158.7127
2020-09-10,159.7018
2020-09-09,163.1531
2020-09-08,166.4153
2020-09-04,171.1907
2020-09-03,171.6288
2020-09-02,173.8328
2020-09-01,173.0521
2020-08-31,173.6856
2020-08-28,174.7842
2020-08-27,173.6930
2020-08-26,173.1197
2020-08-25,173.7896
2020-08-24,172.8501
2020-08-21,169.0885
2020-08-20,170.8164
2020-08-19,172.0293
2020-08-18,174.0467
2020-08-17,176.3463
2020-08-14,178.4430
2020-08-13,177.3067
2020-08-12,177.6980
2020-08-11,177.6050
2020-08-10,174.1267
2020-08-07,169.3464
2020-08-06,168.5570
2020-08-05,165.9650
2020-08-04,160.8676
2020-08-03,159.7736
2020-07-31,160.3779
2020-07-30,164.4940
2020-07-29,168.2335
2020-07-28,171.2734
2020-07-27,172.7096
2020-07-24,175.4024
2020-07-23,177.1015
2020-07-22,177.8722
2020-07-21,176.8271
2020-07-20,176.1435
2020-07-17,178.0576
2020-07-16,180.1257
2020-07-15,181.1695
2020-07-14,176.5430
2020-07-13,175.1761
2020-07-10,176.2238
2020-07-09,176.0893
2020-07-08,179.5371
2020-07-07,180.2133
2020-07-06,182.1312
2020-07-02,179.0144
2020-07-01,179.3282
2020-06-30,180.2994
2020-06-29,179.9141
2020-06-26,172.0815
2020-06-25,177.2986
2020-06-24,182.0722
2020-06-23,188.1180
2020-06-22,189.6183
2020-06-19,191.3974
2020-06-18,194.9428
2020-06-17,196.4450
2020-06-16,198.1922
2020-06-15,196.8711
2020-06-12,199.0353
2020-06-11,202.5965
2020-06-10,220.0722
2020-06-09,222.1453
2020-06-08,214.6523
2020-06-05,192.7797
2020-06-04,176.0358
2020-06-03,164.5653
2020-06-02,154.4353
2020-06-01,152.3044
2020-05-29,150.0175
2020-05-28,149.9278
2020-05-27,146.6881
2020-05-26,141.6921
2020-05-22,137.1991
2020-05-21,135.1506
2020-05-20,130.9617
2020-05-19,128.4898
2020-05-18,126.7499
2020-05-15,120.8902
2020-05-14,122.7681
2020-05-13,124.0537
2020-05-12,126.8173
2020-05-11,128.5453
2020-05-08,128.7369
2020-05-07,126.1162
2020-05-06,125.6604
2020-05-05,129.7729
2020-05-04,133.6466
2020-05-01,135.3990
2020-04-30,136.7545
2020-04-29,133.6693
2020-04-28,130.5843
2020-04-27,131.3972
2020-04-24,134.5779
2020-04-23,139.2418
2020-04-22,140.3406
2020-04-21,143.8526
2020-04-20,148.0767
2020-04-17,149.2809
2020-04-16,143.9140
2020-04-15,149.1050
2020-04-14,148.7087
2020-04-13,151.2229
2020-04-09,150.4034
2020-04-08,145.8910
2020-04-07,142.3759
2020-04-06,140.6529
2020-04-03,133.3228
2020-04-02,138.9369
2020-04-01,148.1955
2020-03-31,156.8214
2020-03-30,156.9539
2020-03-27,154.7764
2020-03-26,144.8923
2020-03-25,118.0911
2020-03-24,94.1410
2020-03-23,81.4430
2020-03-20,80.0072
2020-03-19,87.9535
2020-03-18,101.0388
2020-03-17,120.7604
2020-03-16,138.0697
2020-03-13,162.9102
2020-03-12,175.0985
2020-03-11,205.9258
2020-03-10,230.5902
2020-03-09,240.5844
2020-03-06,259.3843
2020-03-05,264.8061
2020-03-04,275.2488
2020-03-03,276.4605
2020-03-02,280.9923
2020-02-28,282.9882
2020-02-27,296.5287
2020-02-26,308.9524
2020-02-25,316.0161
2020-02-24,327.8969
2020-02-21,336.4419
2020-02-20,340.6892
2020-02-19,342.8531
2020-02-18,344.4426
2020-02-14,346.0619
2020-02-13,346.9445
2020-02-12,346.1790
2020-02-11,342.7892
2020-02-10,339.2777
2020-02-07,333.4548
2020-02-06,329.7551
2020-02-05,320.9039
2020-02-04,315.6642
2020-02-03,315.7210
2020-01-31,317.1898
2020-01-30,317.9240
2020-01-29,315.7389
2020-01-28,313.5111
2020-01-27,314.0793
2020-01-24,315.1410
2020-01-23,312.6861
2020-01-22,312.9160
2020-01-21,319.4835
2020-01-17,326.5285
2020-01-16,329.8555
2020-01-15,329.5588
2020-01-14,330.5933
2020-01-13,330.4165
2020-01-10,331.5637
2020-01-09,333.4197
2020-01-08,331.8134
2020-01-07,332.6949
2020-01-06,330.0083
2020-01-03,328.4040
2020-01-02,326.7551
2019-12-31,324.0857
2019-12-30,325.3974
2019-12-27,327.1418
2019-12-26,327.4561
2019-12-24,328.3137
2019-12-23,327.7997
2019-12-20,324.3465
2019-12-19,326.0554
2019-12-18,325.4143
2019-12-17,326.9084
2019-12-16,332.1508
2019-12-13,340.4024
2019-12-12,343.1911
2019-12-11,344.5511
2019-12-10,344.4084
2019-12-09,345.9451
2019-12-06,346.3706
2019-12-05,345.4732
2019-12-04,350.1792
2019-12-03,355.3895
