Dates,MIDPOINT Values
2021-07-23,222.6400
2021-07-22,223.2900
2021-07-21,223.2900
2021-07-20,223.2900
2021-07-19,223.2900
2021-07-16,228.6650
2021-07-15,231.2450
2021-07-14,232.0900
2021-07-13,233.9650
2021-07-12,235.8700
2021-07-09,240.0800
2021-07-08,241.1750
2021-07-07,241.1750
2021-07-06,243.1650
2021-07-02,243.1650
2021-07-01,243.1650
2021-06-30,243.1650
2021-06-29,243.1650
2021-06-28,243.9600
2021-06-25,243.9600
2021-06-24,243.9600
2021-06-23,242.8450
2021-06-22,242.8450
2021-06-21,245.0550
2021-06-18,245.0550
2021-06-17,245.9900
2021-06-16,247.5150
2021-06-15,250.3800
2021-06-14,250.3800
2021-06-11,251.3200
2021-06-10,251.3200
2021-06-09,248.4950
2021-06-08,248.1800
2021-06-07,246.5300
2021-06-04,245.2200
2021-06-03,241.6350
2021-06-02,240.0200
2021-06-01,239.5750
2021-05-28,237.5600
2021-05-27,237.5600
2021-05-26,232.0050
2021-05-25,230.7600
2021-05-24,229.1100
2021-05-21,227.8000
2021-05-20,228.1250
2021-05-19,228.1250
2021-05-18,228.1250
2021-05-17,228.1250
2021-05-14,228.1250
2021-05-13,228.1250
2021-05-12,228.3600
2021-05-11,232.0600
2021-05-10,235.3250
2021-05-07,235.3250
2021-05-06,235.3250
2021-05-05,235.3250
2021-05-04,238.0500
2021-05-03,238.2650
2021-04-30,239.1050
2021-04-29,241.1200
2021-04-28,242.5850
2021-04-27,243.2450
2021-04-26,243.6650
2021-04-23,243.6650
2021-04-22,243.6650
2021-04-21,244.5050
2021-04-20,244.5050
2021-04-19,249.6600
2021-04-16,253.7700
2021-04-15,254.4400
2021-04-14,254.4400
2021-04-13,254.4400
2021-04-12,254.4400
2021-04-09,252.1150
2021-04-08,252.1150
2021-04-07,249.3000
2021-04-06,249.3000
2021-04-05,249.3000
2021-04-01,247.5300
2021-03-31,247.6500
2021-03-30,251.4150
2021-03-29,251.4150
2021-03-26,252.4350
2021-03-25,254.2150
2021-03-24,254.2150
2021-03-23,255.2200
2021-03-22,249.9000
2021-03-19,246.6100
2021-03-18,246.2050
2021-03-17,246.2050
2021-03-16,246.2050
2021-03-15,246.1650
2021-03-12,246.1650
2021-03-11,232.0050
2021-03-10,228.6750
2021-03-09,221.3100
2021-03-08,220.6750
2021-03-05,220.6750
2021-03-04,220.6750
2021-03-03,218.9100
2021-03-02,218.9100
2021-03-01,218.9100
2021-02-26,218.9100
2021-02-25,218.9100
2021-02-24,218.9100
2021-02-23,212.9750
2021-02-22,212.9750
2021-02-19,212.7000
2021-02-18,212.5550
2021-02-17,212.2850
2021-02-16,209.0600
2021-02-12,205.4800
2021-02-11,204.6550
2021-02-10,204.6550
2021-02-09,204.5750
2021-02-08,202.9900
2021-02-05,202.3350
2021-02-04,202.3350
2021-02-03,200.7200
2021-02-02,202.7400
2021-02-01,202.7400
2021-01-29,202.7400
2021-01-28,202.7400
2021-01-27,202.7400
2021-01-26,206.7550
2021-01-25,207.4050
2021-01-22,207.8850
2021-01-21,208.5150
2021-01-20,208.5150
2021-01-19,208.5150
2021-01-15,207.7150
2021-01-14,208.3900
2021-01-13,209.6950
2021-01-12,209.6950
2021-01-11,209.6950
2021-01-08,209.9350
2021-01-07,211.2050
2021-01-06,211.2050
2021-01-05,211.2050
2021-01-04,211.2350
2020-12-31,217.6500
2020-12-30,220.9800
2020-12-29,222.7950
2020-12-28,222.7950
2020-12-24,223.7400
2020-12-23,226.6050
2020-12-22,226.6050
2020-12-21,227.9400
2020-12-18,228.9600
2020-12-17,229.7050
2020-12-16,232.0200
2020-12-15,231.0100
2020-12-14,225.5900
2020-12-11,224.4400
2020-12-10,224.4400
2020-12-09,224.4400
2020-12-08,224.4400
2020-12-07,224.4400
2020-12-04,218.4100
2020-12-03,218.4100
2020-12-02,211.7350
2020-12-01,209.0550
2020-11-30,209.0550
2020-11-27,202.8000
2020-11-25,197.6050
2020-11-24,197.6050
2020-11-23,194.1250
2020-11-20,193.3850
2020-11-19,183.8950
2020-11-18,183.5700
2020-11-17,180.8400
2020-11-16,177.0150
2020-11-13,168.6450
2020-11-12,166.5400
2020-11-11,166.5400
2020-11-10,166.5400
2020-11-09,161.8750
2020-11-06,152.6100
2020-11-05,155.8750
2020-11-04,156.7300
2020-11-03,156.7300
2020-11-02,156.7300
2020-10-30,156.7300
2020-10-29,158.6050
2020-10-28,158.6050
2020-10-27,162.1550
2020-10-26,164.9500
2020-10-23,165.6050
2020-10-22,165.6050
2020-10-21,165.0700
2020-10-20,165.0700
2020-10-19,163.7700
2020-10-16,165.3700
2020-10-15,165.3700
2020-10-14,165.3700
2020-10-13,165.3700
2020-10-12,165.3700
2020-10-09,165.3700
2020-10-08,163.6150
2020-10-07,158.6250
2020-10-06,158.6250
2020-10-05,158.6250
2020-10-02,157.0650
2020-10-01,156.9550
2020-09-30,156.7900
2020-09-29,156.7900
2020-09-28,156.7900
2020-09-25,156.7900
2020-09-24,156.7900
2020-09-23,159.3550
2020-09-22,161.9400
2020-09-21,161.9400
2020-09-18,164.3700
2020-09-17,164.3700
2020-09-16,166.2350
2020-09-15,166.2350
2020-09-14,166.2350
2020-09-11,166.7450
2020-09-10,166.7450
2020-09-09,168.2900
2020-09-08,168.4400
2020-09-04,173.5200
2020-09-03,172.8850
2020-09-02,172.8850
2020-09-01,172.8850
2020-08-31,172.8850
2020-08-28,172.8850
2020-08-27,172.8850
2020-08-26,172.8850
2020-08-25,172.8850
2020-08-24,173.8150
2020-08-21,173.8150
2020-08-20,174.7000
2020-08-19,174.7000
2020-08-18,175.0750
2020-08-17,172.6000
2020-08-14,171.2000
2020-08-13,169.0650
2020-08-12,169.0650
2020-08-11,169.0650
2020-08-10,168.7050
2020-08-07,166.1400
2020-08-06,166.1400
2020-08-05,167.2250
2020-08-04,168.8950
2020-08-03,168.8950
2020-07-31,168.8950
2020-07-30,170.8700
2020-07-29,172.9000
2020-07-28,179.0750
2020-07-27,179.0750
2020-07-24,180.8500
2020-07-23,181.1800
2020-07-22,180.6100
2020-07-21,180.6100
2020-07-20,180.6100
2020-07-17,180.6100
2020-07-16,180.6100
2020-07-15,180.6100
2020-07-14,180.5950
2020-07-13,183.8850
2020-07-10,182.2500
2020-07-09,182.2500
2020-07-08,182.2500
2020-07-07,182.2500
2020-07-06,182.2500
2020-07-02,182.2500
2020-07-01,182.2500
2020-06-30,182.2500
2020-06-29,183.8900
2020-06-26,183.8900
2020-06-25,186.3250
2020-06-24,183.8850
2020-06-23,186.7050
2020-06-22,193.3700
2020-06-19,200.2500
2020-06-18,200.2500
2020-06-17,200.2500
2020-06-16,200.2500
2020-06-15,191.9050
2020-06-12,190.9450
2020-06-11,188.1750
2020-06-10,188.1750
2020-06-09,188.1750
2020-06-08,187.6150
2020-06-05,171.4800
2020-06-04,160.9150
2020-06-03,153.2400
2020-06-02,141.8750
2020-06-01,140.9150
2020-05-29,134.9100
2020-05-28,134.9100
2020-05-27,134.7600
2020-05-26,132.3650
2020-05-22,129.5000
2020-05-21,129.5000
2020-05-20,127.7200
2020-05-19,127.7200
2020-05-18,127.7200
2020-05-15,126.7200
2020-05-14,127.4700
2020-05-13,131.2600
2020-05-12,131.4400
2020-05-11,131.4400
2020-05-08,131.4400
2020-05-07,131.4400
2020-05-06,131.4400
2020-05-05,133.2100
2020-05-04,134.8500
2020-05-01,136.1450
2020-04-30,141.3400
2020-04-29,141.3400
2020-04-28,141.3400
2020-04-27,141.3400
2020-04-24,141.4900
2020-04-23,144.1200
2020-04-22,144.1200
2020-04-21,144.1200
2020-04-20,144.1200
2020-04-17,139.2600
2020-04-16,137.5550
2020-04-15,137.5550
2020-04-14,137.5550
2020-04-13,137.7750
2020-04-09,142.6350
2020-04-08,151.9100
2020-04-07,151.9100
2020-04-06,151.9100
2020-04-03,143.0850
2020-04-02,137.7800
2020-04-01,137.7800
2020-03-31,137.7800
2020-03-30,137.7800
2020-03-27,137.7800
2020-03-26,137.7800
2020-03-25,132.6050
2020-03-24,142.0450
2020-03-23,163.0100
2020-03-20,163.0100
2020-03-19,180.0200
2020-03-18,182.1100
2020-03-17,203.6300
2020-03-16,206.3650
2020-03-13,222.0550
2020-03-12,222.0550
2020-03-11,239.1750
2020-03-10,266.3800
2020-03-09,266.3800
2020-03-06,289.1350
2020-03-05,295.3750
2020-03-04,305.6950
2020-03-03,306.7050
2020-03-02,306.9950
2020-02-28,307.8000
2020-02-27,315.2900
2020-02-26,324.7598
2020-02-25,324.7598
2020-02-24,331.6398
2020-02-21,337.8798
2020-02-20,340.0615
2020-02-19,336.4830
2020-02-18,330.7126
2020-02-14,329.7484
2020-02-13,329.7484
2020-02-12,329.7484
2020-02-11,328.3666
2020-02-10,328.3666
2020-02-07,326.7563
2020-02-06,326.7563
2020-02-05,320.8517
2020-02-04,314.2662
2020-02-03,314.2662
2020-01-31,314.6886
2020-01-30,318.5902
2020-01-29,318.5902
2020-01-28,318.7642
2020-01-27,318.7642
2020-01-24,318.7642
2020-01-23,320.7473
2020-01-22,320.7473
2020-01-21,323.3865
2020-01-17,328.7444
2020-01-16,331.5525
2020-01-15,331.5525
2020-01-14,329.5446
2020-01-13,329.5446
2020-01-10,329.5446
2020-01-09,329.5446
2020-01-08,329.5446
2020-01-07,329.6788
2020-01-06,329.6788
2020-01-03,329.6788
2020-01-02,329.6788
2019-12-31,329.6788
2019-12-30,329.9969
2019-12-27,332.3428
2019-12-26,334.6390
2019-12-24,336.4830
2019-12-23,336.4830
2019-12-20,337.0844
2019-12-19,338.5158
2019-12-18,338.5158
2019-12-17,338.5158
2019-12-16,338.5158
2019-12-13,346.3488
2019-12-12,353.8091
2019-12-11,354.7137
2019-12-10,357.4523
2019-12-09,357.4523
2019-12-06,357.4523
2019-12-05,357.4523
2019-12-04,359.0229
2019-12-03,360.6332
2019-12-02,362.1740
2019-11-29,367.6412
2019-11-27,367.7704
2019-11-26,365.8122
2019-11-25,365.6233
2019-11-22,364.9026
2019-11-21,359.1869
2019-11-20,359.1869
2019-11-19,359.1869
2019-11-18,359.1869
2019-11-15,358.2338
2019-11-14,353.2107
2019-11-13,350.3629
2019-11-12,350.3629
2019-11-11,350.3629
2019-11-08,345.5667
2019-11-07,345.5271
2019-11-06,344.9959
2019-11-05,344.9959
2019-11-04,340.0393
2019-11-01,336.0364
2019-10-31,336.0364
2019-10-30,345.9842
2019-10-29,347.6496
2019-10-28,347.6496
2019-10-25,348.0203
2019-10-24,348.8801
2019-10-23,348.8801
2019-10-22,348.8999
2019-10-21,348.8999
2019-10-18,356.0754
2019-10-17,368.4595
2019-10-16,369.3984
2019-10-15,367.6194
2019-10-14,367.6194
2019-10-11,369.5615
2019-10-10,370.7426
2019-10-09,372.7341
2019-10-08,372.7341
2019-10-07,372.7341
2019-10-04,372.7341
2019-10-03,372.7341
2019-10-02,372.7341
2019-10-01,376.4800
2019-09-30,377.5128
2019-09-27,377.5128
2019-09-26,377.5128
2019-09-25,376.5838
2019-09-24,376.5838
2019-09-23,373.5495
2019-09-20,368.2569
2019-09-19,368.2569
2019-09-18,368.2569
2019-09-17,366.0528
2019-09-16,364.3874
2019-09-13,364.3874
2019-09-12,364.3874
2019-09-11,364.3874
2019-09-10,357.7407
2019-09-09,355.0722
2019-09-06,355.0722
2019-09-05,355.0672
2019-09-04,347.9412
2019-09-03,343.8692
2019-08-30,343.8692
2019-08-29,342.5596
2019-08-28,339.9800
2019-08-27,335.7745
2019-08-26,335.7745
2019-08-23,334.2772
2019-08-22,333.4865
2019-08-21,326.3604
2019-08-20,325.1546
2019-08-19,325.1546
2019-08-16,325.1546
2019-08-15,325.1546
2019-08-14,325.1546
2019-08-13,330.1892
2019-08-12,333.2738
2019-08-09,333.2738
2019-08-08,333.2738
2019-08-07,333.5832
2019-08-06,340.1355
2019-08-05,345.8528
2019-08-02,347.6113
2019-08-01,349.5465
2019-07-31,352.4543
2019-07-30,352.4543
2019-07-29,352.4543
2019-07-26,354.8070
2019-07-25,356.3247
2019-07-24,361.6835
2019-07-23,358.3926
2019-07-22,358.3926
2019-07-19,357.8130
2019-07-18,353.9622
2019-07-17,353.9622
2019-07-16,351.9041
2019-07-15,351.9041
2019-07-12,351.9041
2019-07-11,351.2607
2019-07-10,356.6244
2019-07-09,356.6244
2019-07-08,356.6244
2019-07-05,358.1175
2019-07-03,358.1175
2019-07-02,358.1175
2019-07-01,359.2472
2019-06-28,358.4810
2019-06-27,354.6793
2019-06-26,354.6793
2019-06-25,354.5860
2019-06-24,354.5860
2019-06-21,354.5860
2019-06-20,354.5860
2019-06-19,354.1341
2019-06-18,354.1341
2019-06-17,343.5885
2019-06-14,340.2338
2019-06-13,340.2338
2019-06-12,340.2338
2019-06-11,340.2338
2019-06-10,340.7642
2019-06-07,340.7741
2019-06-06,340.7741
2019-06-05,340.7741
2019-06-04,342.6651
2019-06-03,342.6651
2019-05-31,344.0011
2019-05-30,347.5327
2019-05-29,345.9805
2019-05-28,344.7035
2019-05-24,341.9185
2019-05-23,341.9185
2019-05-22,341.9185
2019-05-21,341.9185
2019-05-20,341.3902
2019-05-17,347.1771
2019-05-16,349.5504
2019-05-15,349.5504
2019-05-14,349.7165
2019-05-13,350.1511
2019-05-10,359.0474
2019-05-09,359.8971
2019-05-08,361.3890
2019-05-07,361.3890
2019-05-06,368.4065
2019-05-03,369.5883
2019-05-02,369.5883
2019-05-01,369.5883
2019-04-30,369.5883
2019-04-29,369.5883
2019-04-26,369.5883
2019-04-25,367.7033
2019-04-24,364.6267
2019-04-23,364.6267
2019-04-22,364.6267
2019-04-18,369.6127
2019-04-17,371.5319
2019-04-16,371.5319
2019-04-15,371.5319
2019-04-12,371.5319
2019-04-11,371.5319
2019-04-10,371.5319
2019-04-09,373.5341
2019-04-08,374.1885
2019-04-05,374.1885
2019-04-04,370.1792
2019-04-03,368.0695
2019-04-02,368.0695
2019-04-01,368.0695
2019-03-29,363.1275
2019-03-28,361.9408
2019-03-27,361.9408
2019-03-26,361.9408
2019-03-25,361.9408
2019-03-22,372.2058
2019-03-21,388.1453
2019-03-20,388.1551
2019-03-19,389.0830
2019-03-18,391.8470
2019-03-15,393.6001
2019-03-14,397.4727
2019-03-13,398.5031
2019-03-12,398.5031
2019-03-11,410.5164
2019-03-08,421.5187
2019-03-07,421.5285
2019-03-06,419.0966
2019-03-05,419.0966
2019-03-04,418.4519
2019-03-01,418.4519
2019-02-28,414.9847
2019-02-27,412.7774
2019-02-26,408.5923
2019-02-25,405.7257
2019-02-22,404.3486
2019-02-21,403.1277
2019-02-20,403.1277
2019-02-19,401.3795
2019-02-15,397.0071
2019-02-14,388.8168
2019-02-13,387.9373
2019-02-12,387.9373
2019-02-11,377.0521
2019-02-08,376.1095
2019-02-07,376.1095
2019-02-06,373.8259
2019-02-05,373.3740
2019-02-04,366.7903
2019-02-01,362.2814
2019-01-31,362.2814
2019-01-30,359.4438
2019-01-29,348.3609
2019-01-28,347.4475
2019-01-25,347.4475
2019-01-24,347.4475
2019-01-23,344.2747
2019-01-22,342.6713
2019-01-18,336.6366
2019-01-17,333.3958
2019-01-16,322.5267
2019-01-15,322.5267
2019-01-14,322.5267
2019-01-11,322.5267
2019-01-10,322.3858
2019-01-09,318.1198
2019-01-08,308.3828
2019-01-07,302.3481
2019-01-04,301.8477
2019-01-03,300.2589
2019-01-02,302.3238
2018-12-31,302.3238
2018-12-28,302.3238
2018-12-27,302.3238
2018-12-26,302.3238
2018-12-24,302.3238
2018-12-21,307.3721
2018-12-20,311.5021
2018-12-19,314.8644
2018-12-18,320.0147
2018-12-17,328.4982
2018-12-14,329.7712
2018-12-13,331.3649
2018-12-12,331.3649
2018-12-11,329.4213
2018-12-10,328.6099
2018-12-07,326.6470
