Dates,MIDPRICE Values
2019-09-19,349.9130
2019-09-18,349.0333
2019-09-17,348.3249
2019-09-16,347.6793
2019-09-13,347.6793
2019-09-12,347.6793
2019-09-11,347.4322
2019-09-10,345.7803
2019-09-09,345.7803
2019-09-06,345.7803
2019-09-05,345.7803
2019-09-04,345.7803
2019-09-03,345.7803
2019-08-30,345.7803
2019-08-29,345.7803
2019-08-28,345.7803
2019-08-27,345.7803
2019-08-26,345.7803
2019-08-23,345.7803
2019-08-22,345.7803
2019-08-21,345.7803
2019-08-20,345.7803
2019-08-19,345.7803
2019-08-16,345.7803
2019-08-15,345.7803
2019-08-14,346.2053
2019-08-13,347.2871
2019-08-12,347.2871
2019-08-09,347.2871
2019-08-08,347.2871
2019-08-07,347.2871
2019-08-06,348.4585
2019-08-05,348.4585
2019-08-02,350.2833
2019-08-01,350.2833
2019-07-31,350.2833
2019-07-30,350.2833
2019-07-29,350.2833
2019-07-26,350.2833
2019-07-25,350.2833
2019-07-24,350.2833
2019-07-23,350.2833
2019-07-22,350.2833
2019-07-19,348.7262
2019-07-18,348.7262
2019-07-17,348.7262
2019-07-16,348.7262
2019-07-15,348.7262
2019-07-12,348.7262
2019-07-11,348.7262
2019-07-10,348.7262
2019-07-09,350.5765
2019-07-08,350.5765
2019-07-05,350.5765
2019-07-03,350.5765
2019-07-02,350.5765
2019-07-01,350.5765
2019-06-28,350.5765
2019-06-27,350.5765
2019-06-26,350.5765
2019-06-25,350.5765
2019-06-24,350.5765
2019-06-21,350.5765
2019-06-20,350.5765
2019-06-19,350.5765
2019-06-18,350.5765
2019-06-17,357.1008
2019-06-14,357.1008
2019-06-13,357.1008
2019-06-12,357.1008
2019-06-11,357.1008
2019-06-10,357.1008
2019-06-07,357.1008
2019-06-06,357.1008
2019-06-05,357.1008
2019-06-04,357.1008
2019-06-03,357.1008
2019-05-31,360.2099
2019-05-30,360.2099
2019-05-29,360.2099
2019-05-28,360.2099
2019-05-24,360.2099
2019-05-23,360.2099
2019-05-22,360.2099
2019-05-21,360.2099
2019-05-20,362.1682
2019-05-17,372.3043
2019-05-16,374.3914
2019-05-15,376.4913
2019-05-14,377.3947
2019-05-13,382.5956
2019-05-10,388.4756
2019-05-09,388.4756
2019-05-08,390.3527
2019-05-07,391.1780
2019-05-06,394.3546
2019-05-03,394.3546
2019-05-02,394.3546
2019-05-01,394.3546
2019-04-30,394.3546
2019-04-29,394.3546
2019-04-26,394.3546
2019-04-25,394.3546
2019-04-24,394.3546
2019-04-23,394.3546
2019-04-22,394.3546
2019-04-18,394.3546
2019-04-17,394.3546
2019-04-16,394.3546
2019-04-15,394.3546
2019-04-12,394.3546
2019-04-11,394.3546
2019-04-10,394.3546
2019-04-09,393.8937
2019-04-08,391.5080
2019-04-05,391.5080
2019-04-04,391.2165
2019-04-03,389.6471
2019-04-02,389.6471
2019-04-01,389.6471
2019-03-29,388.2186
2019-03-28,388.2186
2019-03-27,386.8825
2019-03-26,386.4112
2019-03-25,386.4112
2019-03-22,384.4628
2019-03-21,383.4264
2019-03-20,379.4339
2019-03-19,374.9153
2019-03-18,371.3829
2019-03-15,368.1372
2019-03-14,368.1372
2019-03-13,368.1372
2019-03-12,368.1372
2019-03-11,364.6583
2019-03-08,359.9115
2019-03-07,359.9115
2019-03-06,359.9115
2019-03-05,359.9115
2019-03-04,359.9115
2019-03-01,359.9115
2019-02-28,357.6700
2019-02-27,355.1843
2019-02-26,352.0541
2019-02-25,352.0541
2019-02-22,349.3926
2019-02-21,348.3860
2019-02-20,348.1082
2019-02-19,346.2574
2019-02-15,346.2574
2019-02-14,343.6545
2019-02-13,343.6545
2019-02-12,343.2011
2019-02-11,343.2011
2019-02-08,343.2011
2019-02-07,343.2011
2019-02-06,343.2011
2019-02-05,341.6803
2019-02-04,335.0334
2019-02-01,332.9587
2019-01-31,332.5550
2019-01-30,332.5550
2019-01-29,321.3948
2019-01-28,321.3948
2019-01-25,322.1139
2019-01-24,322.3666
2019-01-23,323.6784
2019-01-22,323.6784
2019-01-18,323.6784
2019-01-17,323.6784
2019-01-16,323.6784
2019-01-15,323.6784
2019-01-14,323.6784
2019-01-11,323.6784
2019-01-10,323.6784
2019-01-09,323.6784
2019-01-08,323.6784
2019-01-07,323.6784
2019-01-04,323.6784
2019-01-03,323.6784
2019-01-02,323.6784
2018-12-31,323.6784
2018-12-28,323.6784
2018-12-27,323.6784
2018-12-26,323.6784
2018-12-24,324.4994
2018-12-21,325.6898
2018-12-20,329.7411
2018-12-19,331.2017
2018-12-18,331.2017
2018-12-17,333.8956
2018-12-14,333.8956
2018-12-13,334.8097
2018-12-12,334.8097
2018-12-11,334.8097
2018-12-10,334.8097
2018-12-07,334.8097
