Dates,WMA Values
2020-10-28,169.3954
2020-10-27,169.8118
2020-10-26,170.1662
2020-10-23,170.4733
2020-10-22,170.7237
2020-10-21,170.9651
2020-10-20,171.2669
2020-10-19,171.5432
2020-10-16,171.8289
2020-10-15,172.1205
2020-10-14,172.4509
2020-10-13,172.7992
2020-10-12,173.1668
2020-10-09,173.4905
2020-10-08,173.8226
2020-10-07,174.1563
2020-10-06,174.5319
2020-10-05,174.9664
2020-10-02,175.2927
2020-10-01,175.6579
2020-09-30,176.0330
2020-09-29,176.4428
2020-09-28,176.8780
2020-09-25,177.2976
2020-09-24,177.8267
2020-09-23,178.4651
2020-09-22,179.0625
2020-09-21,179.6133
2020-09-18,180.1780
2020-09-17,180.7045
2020-09-16,181.1766
2020-09-15,181.6592
2020-09-14,182.1913
2020-09-11,182.7152
2020-09-10,183.3005
2020-09-09,183.9216
2020-09-08,184.5221
2020-09-04,185.1299
2020-09-03,185.6482
2020-09-02,186.1990
2020-09-01,186.6997
2020-08-31,187.2367
2020-08-28,187.7859
2020-08-27,188.3046
2020-08-26,188.8488
2020-08-25,189.4246
2020-08-24,189.9813
2020-08-21,190.5113
2020-08-20,191.1577
2020-08-19,191.7923
2020-08-18,192.4385
2020-08-17,193.0834
2020-08-14,193.7190
2020-08-13,194.3026
2020-08-12,194.9275
2020-08-11,195.5534
2020-08-10,196.1405
2020-08-07,196.7427
2020-08-06,197.4464
2020-08-05,198.1361
2020-08-04,198.8134
2020-08-03,199.5922
2020-07-31,200.4092
2020-07-30,201.2790
2020-07-29,202.1198
2020-07-28,202.9304
2020-07-27,203.7026
2020-07-24,204.4911
2020-07-23,205.2541
2020-07-22,206.0000
2020-07-21,206.7222
2020-07-20,207.4653
2020-07-17,208.2597
2020-07-16,209.0515
2020-07-15,209.8229
2020-07-14,210.5118
2020-07-13,211.2901
2020-07-10,212.1216
2020-07-09,212.9353
2020-07-08,213.8101
2020-07-07,214.6271
2020-07-06,215.4659
2020-07-02,216.2246
2020-07-01,217.0638
2020-06-30,217.9176
2020-06-29,218.7512
2020-06-26,219.4823
2020-06-25,220.4673
2020-06-24,221.4134
2020-06-23,222.3503
2020-06-22,223.1844
2020-06-19,224.0204
2020-06-18,224.8796
2020-06-17,225.6942
2020-06-16,226.5146
2020-06-15,227.2910
2020-06-12,228.1436
2020-06-11,229.0184
2020-06-10,230.0965
2020-06-09,230.8496
2020-06-08,231.4767
2020-06-05,231.9721
2020-06-04,232.7231
2020-06-03,233.6915
2020-06-02,234.7785
2020-06-01,236.0714
2020-05-29,237.3917
2020-05-28,238.7762
2020-05-27,240.1302
2020-05-26,241.4962
