Dates,RSI Values
2020-10-14,48.2135
2020-10-13,46.5554
2020-10-12,53.9139
2020-10-09,53.8887
2020-10-08,54.7913
2020-10-07,51.0585
2020-10-06,44.9390
2020-10-05,60.6302
2020-10-02,57.0158
2020-10-01,56.7639
2020-09-30,53.8897
2020-09-29,52.0584
2020-09-28,54.9952
2020-09-25,43.3368
2020-09-24,26.2660
2020-09-23,30.5196
2020-09-22,36.3187
2020-09-21,35.4346
2020-09-18,40.8704
2020-09-17,50.0973
2020-09-16,49.9860
2020-09-15,43.5594
2020-09-14,46.0547
2020-09-11,37.1325
2020-09-10,32.1198
2020-09-09,35.1921
2020-09-08,35.4887
2020-09-04,47.4502
2020-09-03,43.5330
2020-09-02,52.8854
2020-09-01,48.4399
2020-08-31,47.9784
2020-08-28,54.1832
2020-08-27,51.9342
2020-08-26,48.6746
2020-08-25,52.6267
2020-08-24,57.9212
2020-08-21,41.9227
2020-08-20,44.8892
2020-08-19,44.3611
2020-08-18,45.5784
2020-08-17,47.7657
2020-08-14,56.0158
2020-08-13,51.8882
2020-08-12,52.8340
2020-08-11,59.2546
2020-08-10,58.5588
2020-08-07,48.1696
2020-08-06,50.8323
2020-08-05,53.3654
2020-08-04,41.8093
2020-08-03,37.5769
2020-07-31,30.6543
2020-07-30,33.7724
2020-07-29,37.2804
2020-07-28,41.9453
2020-07-27,41.0798
2020-07-24,44.4397
2020-07-23,47.0649
2020-07-22,50.3914
2020-07-21,49.2707
2020-07-20,45.2290
2020-07-17,46.2048
2020-07-16,48.5143
2020-07-15,56.1985
2020-07-14,50.0489
2020-07-13,46.3903
2020-07-10,48.4581
2020-07-09,44.3276
2020-07-08,48.9834
2020-07-07,48.1179
2020-07-06,54.3639
2020-07-02,49.7479
2020-07-01,49.4302
2020-06-30,51.2021
2020-06-29,58.2596
2020-06-26,42.7125
2020-06-25,45.7645
2020-06-24,46.8851
2020-06-23,54.2805
2020-06-22,54.7249
2020-06-19,53.9294
2020-06-18,57.1018
2020-06-17,57.2456
2020-06-16,60.0944
2020-06-15,57.6153
2020-06-12,57.1132
2020-06-11,49.8139
2020-06-10,67.5273
2020-06-09,77.4118
2020-06-08,89.5959
2020-06-05,85.9767
2020-06-04,80.9498
2020-06-03,77.0455
2020-06-02,65.8073
2020-06-01,64.2851
2020-05-29,59.6165
2020-05-28,65.1053
2020-05-27,64.8854
2020-05-26,61.3894
2020-05-22,55.3796
2020-05-21,57.0102
2020-05-20,52.1064
2020-05-19,49.4764
2020-05-18,54.1199
2020-05-15,37.9298
2020-05-14,40.0034
2020-05-13,38.7843
2020-05-12,41.5559
2020-05-11,44.3877
2020-05-08,48.0019
2020-05-07,43.6343
2020-05-06,36.8693
2020-05-05,39.0695
2020-05-04,43.0254
2020-05-01,44.2977
2020-04-30,49.5829
2020-04-29,48.1117
2020-04-28,42.3391
2020-04-27,40.3053
2020-04-24,40.4524
2020-04-23,44.7417
2020-04-22,43.0223
2020-04-21,43.6221
2020-04-20,46.7628
2020-04-17,51.5280
2020-04-16,41.2873
2020-04-15,46.5455
2020-04-14,43.8137
2020-04-13,46.5343
2020-04-09,48.4640
2020-04-08,46.2535
2020-04-07,43.9505
2020-04-06,46.3816
2020-04-03,35.5621
2020-04-02,34.9532
2020-04-01,36.8142
2020-03-31,41.7834
2020-03-30,42.6660
2020-03-27,45.3339
2020-03-26,50.7885
2020-03-25,43.6050
2020-03-24,30.6380
2020-03-23,18.6823
2020-03-20,12.1260
2020-03-19,12.3541
2020-03-18,12.6867
2020-03-17,14.5649
2020-03-16,15.0582
2020-03-13,19.4595
2020-03-12,10.5557
2020-03-11,13.5641
2020-03-10,19.7760
2020-03-09,16.6290
2020-03-06,24.5724
2020-03-05,22.7203
2020-03-04,30.5586
2020-03-03,28.1056
2020-03-02,31.5794
2020-02-28,16.3462
2020-02-27,19.9103
2020-02-26,27.5229
2020-02-25,25.4363
2020-02-24,33.7301
2020-02-21,45.9635
2020-02-20,54.3506
2020-02-19,57.5886
2020-02-18,58.4891
2020-02-14,60.8668
2020-02-13,64.2697
2020-02-12,68.0302
2020-02-11,65.9184
2020-02-10,66.2433
2020-02-07,60.7229
2020-02-06,66.5071
2020-02-05,57.1908
2020-02-04,43.3253
2020-02-03,40.4234
2020-01-31,42.7273
2020-01-30,48.2067
2020-01-29,46.6394
2020-01-28,39.6260
2020-01-27,39.6604
2020-01-24,45.3715
2020-01-23,38.9155
2020-01-22,25.7113
2020-01-21,28.4644
2020-01-17,37.3413
2020-01-16,46.9341
2020-01-15,43.2574
2020-01-14,46.6275
2020-01-13,43.3071
2020-01-10,42.8564
2020-01-09,50.6035
2020-01-08,43.4858
2020-01-07,51.4146
2020-01-06,46.1184
2020-01-03,44.6142
2020-01-02,45.2641
2019-12-31,33.4933
2019-12-30,34.0512
2019-12-27,37.3208
2019-12-26,37.0005
2019-12-24,39.5465
2019-12-23,43.5286
2019-12-20,30.2638
2019-12-19,34.4593
2019-12-18,29.9800
2019-12-17,23.8692
2019-12-16,23.8692
2019-12-13,33.2348
2019-12-12,37.3934
2019-12-11,41.1113
2019-12-10,37.9694
