Dates,ULTOSC Values
2020-05-01,39.4001
2020-04-30,40.8142
2020-04-29,34.4598
2020-04-28,42.1635
2020-04-27,37.6382
2020-04-24,43.0726
2020-04-23,42.3567
2020-04-22,40.3963
2020-04-21,40.8827
2020-04-20,41.7098
2020-04-17,40.1237
2020-04-16,38.7149
2020-04-15,42.3758
2020-04-14,37.7734
2020-04-13,38.4064
2020-04-09,38.2114
2020-04-08,39.2463
2020-04-07,38.1619
2020-04-06,45.9784
2020-04-03,44.0857
2020-04-02,46.8115
2020-04-01,49.4725
2020-03-31,50.0022
2020-03-30,51.0818
2020-03-27,49.3347
2020-03-26,51.9000
2020-03-25,43.9293
2020-03-24,40.7331
2020-03-23,32.0728
2020-03-20,26.9790
2020-03-19,31.1190
2020-03-18,28.1821
2020-03-17,29.1697
2020-03-16,23.2561
2020-03-13,27.4887
2020-03-12,22.8798
2020-03-11,29.6134
2020-03-10,35.2931
2020-03-09,29.6844
2020-03-06,34.4440
2020-03-05,27.4304
2020-03-04,30.3234
2020-03-03,27.7385
2020-03-02,29.6381
2020-02-28,22.7804
2020-02-27,22.1264
2020-02-26,26.7084
2020-02-25,28.8878
2020-02-24,36.2708
2020-02-21,41.1238
2020-02-20,49.6332
2020-02-19,51.0589
2020-02-18,58.1585
2020-02-14,61.6500
2020-02-13,62.9529
2020-02-12,64.9025
2020-02-11,64.0883
2020-02-10,66.2026
2020-02-07,61.3199
2020-02-06,62.3522
2020-02-05,53.6496
2020-02-04,49.4785
2020-02-03,53.0883
2020-01-31,54.8803
2020-01-30,53.0945
2020-01-29,48.9783
2020-01-28,49.0802
2020-01-27,47.7401
2020-01-24,50.6342
2020-01-23,45.3219
2020-01-22,37.8056
2020-01-21,36.4302
2020-01-17,34.7168
2020-01-16,40.0908
2020-01-15,40.9455
2020-01-14,42.1724
2020-01-13,46.0488
2020-01-10,47.6821
2020-01-09,50.8980
2020-01-08,49.8275
2020-01-07,51.8554
2020-01-06,46.3922
2020-01-03,45.8116
2020-01-02,41.4786
2019-12-31,38.1297
2019-12-30,36.8562
2019-12-27,40.8266
2019-12-26,38.3865
2019-12-24,37.2929
2019-12-23,40.3482
2019-12-20,41.0546
2019-12-19,43.0335
2019-12-18,41.2261
2019-12-17,44.4385
2019-12-16,40.6307
2019-12-13,46.3717
2019-12-12,52.2019
2019-12-11,45.4358
2019-12-10,35.3481
2019-12-09,35.7416
2019-12-06,36.5838
2019-12-05,31.3372
2019-12-04,37.6585
2019-12-03,39.4798
2019-12-02,40.8323
2019-11-29,51.7363
2019-11-27,49.7692
2019-11-26,53.7313
2019-11-25,54.8423
2019-11-22,51.9656
2019-11-21,50.1287
2019-11-20,60.2827
2019-11-19,54.7260
2019-11-18,57.4334
2019-11-15,59.4242
2019-11-14,58.9912
2019-11-13,58.1432
2019-11-12,62.5275
2019-11-11,60.4669
2019-11-08,50.2999
2019-11-07,57.1794
2019-11-06,51.5576
2019-11-05,51.6797
2019-11-04,52.1048
2019-11-01,44.8491
2019-10-31,41.9359
2019-10-30,43.0432
2019-10-29,35.9803
2019-10-28,29.5231
2019-10-25,31.1344
2019-10-24,32.1868
2019-10-23,28.1089
2019-10-22,31.6038
2019-10-21,27.9431
2019-10-18,26.1625
2019-10-17,40.8012
2019-10-16,45.0242
2019-10-15,48.9210
2019-10-14,55.6931
2019-10-11,57.5369
2019-10-10,51.2503
2019-10-09,53.1079
2019-10-08,51.0855
2019-10-07,51.8830
2019-10-04,51.1244
2019-10-03,51.6064
2019-10-02,45.8104
2019-10-01,45.6168
