Dates,TEMA Values
2021-08-06,223.3535
2021-08-05,222.9446
2021-08-04,222.6871
2021-08-03,222.8295
2021-08-02,222.6983
2021-07-30,223.0319
2021-07-29,223.2697
2021-07-28,222.9130
2021-07-27,222.5512
2021-07-26,223.3160
2021-07-23,223.7230
2021-07-22,224.7109
2021-07-21,225.8766
2021-07-20,226.9497
2021-07-19,228.7860
2021-07-16,232.0310
2021-07-15,234.2376
2021-07-14,236.0191
2021-07-13,237.7465
2021-07-12,239.1610
2021-07-09,239.4589
2021-07-08,239.6239
2021-07-07,240.1493
2021-07-06,241.3299
2021-07-02,242.0737
2021-07-01,242.8114
2021-06-30,243.2344
2021-06-29,243.7102
2021-06-28,244.6871
2021-06-25,245.2256
2021-06-24,244.7722
2021-06-23,244.0077
2021-06-22,244.0326
2021-06-21,244.0289
2021-06-18,243.8362
2021-06-17,244.5937
2021-06-16,245.1788
2021-06-15,245.4320
2021-06-14,245.1759
2021-06-11,245.0628
2021-06-10,244.6708
2021-06-09,244.1094
2021-06-08,243.5290
2021-06-07,242.3185
2021-06-04,241.0149
2021-06-03,239.9347
2021-06-02,238.7131
2021-06-01,236.7395
2021-05-28,234.7116
2021-05-27,233.4622
2021-05-26,231.6622
2021-05-25,230.8613
2021-05-24,230.0774
2021-05-21,229.6399
2021-05-20,229.4947
2021-05-19,230.2233
2021-05-18,231.4148
2021-05-17,232.3274
2021-05-14,233.2677
2021-05-13,234.2296
2021-05-12,235.9875
2021-05-11,238.1194
2021-05-10,239.4340
2021-05-07,240.3581
2021-05-06,241.0431
2021-05-05,242.4722
2021-05-04,244.2118
2021-05-03,245.4184
2021-04-30,246.5226
2021-04-29,247.8130
2021-04-28,248.9961
2021-04-27,250.3194
2021-04-26,250.8755
2021-04-23,251.5843
2021-04-22,252.7057
2021-04-21,254.3932
2021-04-20,256.0006
2021-04-19,257.9413
2021-04-16,258.7767
2021-04-15,259.1559
2021-04-14,259.1744
2021-04-13,258.9989
2021-04-12,258.6712
2021-04-09,258.7404
2021-04-08,258.4315
2021-04-07,257.7431
2021-04-06,257.2512
2021-04-05,256.3642
2021-04-01,254.8536
2021-03-31,253.9654
2021-03-30,252.7518
2021-03-29,251.7337
2021-03-26,250.7783
2021-03-25,250.4001
2021-03-24,249.6707
2021-03-23,249.8184
2021-03-22,249.6952
2021-03-19,248.3020
2021-03-18,246.1944
2021-03-17,243.8474
2021-03-16,240.3501
2021-03-15,237.5587
2021-03-12,233.2317
2021-03-11,228.0862
2021-03-10,224.6002
2021-03-09,221.6249
2021-03-08,220.1936
2021-03-05,219.4371
2021-03-04,218.7053
2021-03-03,217.7189
2021-03-02,216.1687
2021-03-01,215.1446
2021-02-26,213.8741
2021-02-25,214.0069
2021-02-24,213.5991
2021-02-23,211.5714
2021-02-22,211.4788
2021-02-19,211.2796
2021-02-18,210.4960
2021-02-17,210.7430
2021-02-16,210.1427
2021-02-12,209.2840
2021-02-11,209.1089
2021-02-10,208.9538
2021-02-09,208.6268
2021-02-08,207.8764
2021-02-05,207.4481
2021-02-04,207.4728
2021-02-03,207.1639
2021-02-02,207.2236
2021-02-01,208.0739
2021-01-29,209.6138
2021-01-28,211.4760
2021-01-27,213.1105
2021-01-26,215.2606
2021-01-25,216.5909
2021-01-22,217.8560
2021-01-21,218.9041
2021-01-20,219.8269
2021-01-19,220.3103
2021-01-15,220.9019
2021-01-14,222.3014
2021-01-13,223.1064
2021-01-12,224.2815
2021-01-11,225.3776
2021-01-08,226.7316
2021-01-07,227.7835
2021-01-06,228.5429
2021-01-05,229.5338
