Dates,PLUS_DM Values
2020-04-02,440.8540
2020-04-01,443.0694
2020-03-31,445.2959
2020-03-30,440.6692
2020-03-27,442.8836
2020-03-26,445.1092
2020-03-25,435.5771
2020-03-24,390.7207
2020-03-23,379.1464
2020-03-20,373.5240
2020-03-19,371.9538
2020-03-18,373.8229
2020-03-17,375.7014
2020-03-16,377.5894
2020-03-13,379.4868
2020-03-12,381.3938
2020-03-11,383.3103
2020-03-10,385.2365
2020-03-09,387.1724
2020-03-06,389.1179
2020-03-05,391.0733
2020-03-04,393.0385
2020-03-03,395.0136
2020-03-02,391.2397
2020-02-28,384.3113
2020-02-27,386.2425
2020-02-26,388.1835
2020-02-25,390.1341
2020-02-24,392.0946
2020-02-21,394.0649
2020-02-20,396.0452
2020-02-19,398.0353
2020-02-18,398.5438
2020-02-14,400.5466
2020-02-13,402.5594
2020-02-12,404.5823
2020-02-11,404.7417
2020-02-10,404.6431
2020-02-07,401.4815
2020-02-06,403.4990
2020-02-05,391.7799
2020-02-04,383.5585
2020-02-03,385.4859
2020-01-31,387.4230
2020-01-30,389.3699
2020-01-29,391.3265
2020-01-28,385.4805
2020-01-27,387.4176
2020-01-24,389.3644
2020-01-23,383.2987
2020-01-22,379.8999
2020-01-21,381.8089
2020-01-17,383.7276
2020-01-16,385.6559
2020-01-15,387.5938
2020-01-14,389.5415
2020-01-13,391.4990
2020-01-10,393.4664
2020-01-09,395.4436
2020-01-08,389.7382
2020-01-07,391.6966
2020-01-06,384.3439
2020-01-03,386.2753
2020-01-02,386.6779
2019-12-31,381.8475
2019-12-30,383.7664
2019-12-27,385.6948
2019-12-26,387.3433
2019-12-24,389.2897
2019-12-23,391.2460
2019-12-20,388.1270
2019-12-19,390.0774
2019-12-18,392.0376
2019-12-17,389.7118
2019-12-16,391.6701
2019-12-13,393.6383
2019-12-12,395.6164
2019-12-11,396.5654
2019-12-10,398.5582
2019-12-09,400.5610
2019-12-06,402.5739
2019-12-05,400.6207
2019-12-04,402.6339
2019-12-03,404.6572
2019-12-02,406.6906
2019-11-29,408.7343
2019-11-27,410.7882
2019-11-26,412.8525
2019-11-25,414.4576
2019-11-22,415.7910
2019-11-21,415.0973
2019-11-20,417.1832
2019-11-19,419.2796
2019-11-18,421.3865
2019-11-15,421.3835
2019-11-14,418.5058
2019-11-13,418.7507
2019-11-12,420.8549
2019-11-11,422.9698
2019-11-08,412.3575
2019-11-07,414.4297
2019-11-06,414.4590
2019-11-05,416.5417
2019-11-04,408.5428
2019-11-01,404.3775
2019-10-31,406.4096
2019-10-30,408.4518
2019-10-29,410.2262
2019-10-28,407.5793
2019-10-25,408.0282
2019-10-24,410.0786
2019-10-23,412.1393
2019-10-22,404.9526
2019-10-21,399.7958
2019-10-18,401.8049
2019-10-17,403.8240
2019-10-16,405.8532
2019-10-15,404.0255
2019-10-14,406.0558
2019-10-11,406.3480
2019-10-10,406.0060
2019-10-09,408.0462
2019-10-08,409.5802
2019-10-07,411.6384
2019-10-04,411.7004
2019-10-03,409.9151
2019-10-02,411.9750
2019-10-01,414.0452
2019-09-30,416.1259
2019-09-27,418.2170
2019-09-26,420.3185
2019-09-25,422.4307
2019-09-24,415.5043
2019-09-23,415.8164
2019-09-20,417.9059
2019-09-19,420.0059
2019-09-18,420.3484
2019-09-17,421.0368
2019-09-16,419.5037
2019-09-13,421.6117
2019-09-12,423.7304
2019-09-11,425.3630
2019-09-10,413.5841
2019-09-09,407.1595
2019-09-06,409.2055
2019-09-05,411.0632
2019-09-04,406.4950
2019-09-03,405.8442
2019-08-30,407.8836
2019-08-29,409.6055
2019-08-28,405.8529
2019-08-27,407.8923
2019-08-26,409.9421
2019-08-23,412.0021
2019-08-22,400.9109
2019-08-21,389.1581
2019-08-20,382.0942
2019-08-19,384.0143
2019-08-16,381.2257
2019-08-15,380.0721
2019-08-14,381.9820
2019-08-13,383.9015
2019-08-12,384.4509
2019-08-09,386.3828
2019-08-08,385.6922
2019-08-07,382.8563
2019-08-06,384.7802
2019-08-05,384.4134
2019-08-02,386.3451
2019-08-01,388.2865
2019-07-31,390.2377
2019-07-30,388.4519
2019-07-29,390.4039
2019-07-26,392.3658
2019-07-25,394.3375
2019-07-24,396.3191
2019-07-23,398.3106
2019-07-22,400.3122
2019-07-19,398.2956
2019-07-18,390.4701
2019-07-17,392.4323
2019-07-16,390.0602
2019-07-15,389.5521
2019-07-12,391.5096
2019-07-11,387.3657
2019-07-10,386.6071
2019-07-09,385.9137
2019-07-08,387.8530
2019-07-05,389.8020
2019-07-03,389.3913
2019-07-02,391.3481
2019-07-01,393.3146
2019-06-28,395.2911
2019-06-27,397.2775
2019-06-26,399.2739
2019-06-25,397.5977
2019-06-24,399.5956
2019-06-21,401.6037
2019-06-20,403.3058
2019-06-19,405.3325
2019-06-18,402.7686
2019-06-17,386.4289
2019-06-14,381.5782
2019-06-13,383.3871
2019-06-12,385.3136
2019-06-11,387.2499
2019-06-10,389.1959
2019-06-07,389.0586
2019-06-06,387.4199
2019-06-05,389.3667
2019-06-04,391.3233
2019-06-03,386.0826
2019-05-31,388.0227
2019-05-30,389.9725
2019-05-29,391.9322
2019-05-28,393.9017
2019-05-24,395.8811
2019-05-23,388.0667
2019-05-22,390.0167
2019-05-21,391.9766
2019-05-20,389.1783
2019-05-17,391.1340
2019-05-16,389.6539
2019-05-15,384.0097
2019-05-14,383.2738
2019-05-13,385.1998
2019-05-10,387.1355
2019-05-09,389.0809
2019-05-08,391.0360
2019-05-07,393.0010
2019-05-06,394.9759
2019-05-03,396.9607
2019-05-02,398.7101
2019-05-01,400.7137
2019-04-30,402.6732
2019-04-29,404.6967
2019-04-26,406.7304
2019-04-25,408.7742
2019-04-24,407.2455
2019-04-23,405.0908
2019-04-22,407.1264
2019-04-18,409.1723
2019-04-17,411.2284
2019-04-16,413.2949
2019-04-15,408.7558
2019-04-12,410.8098
2019-04-11,404.1675
2019-04-10,403.9506
2019-04-09,405.9805
