Dates,HT_TRENDLINE Values
2020-05-13,132.3684
2020-05-12,133.5330
2020-05-11,134.5244
2020-05-08,135.1662
2020-05-07,136.1788
2020-05-06,137.3750
2020-05-05,138.7722
2020-05-04,139.8201
2020-05-01,140.0309
2020-04-30,139.9201
2020-04-29,139.4626
2020-04-28,139.6329
2020-04-27,140.7266
2020-04-24,142.4446
2020-04-23,143.7297
2020-04-22,143.9758
2020-04-21,142.5033
2020-04-20,139.9674
2020-04-17,137.4591
2020-04-16,137.2009
2020-04-15,138.9685
2020-04-14,143.0517
2020-04-13,149.2037
2020-04-09,156.1825
2020-04-08,165.1973
2020-04-07,173.7689
2020-04-06,181.1312
2020-04-03,187.2353
2020-04-02,193.9854
2020-04-01,200.7690
2020-03-31,207.9933
2020-03-30,215.4426
2020-03-27,223.5637
2020-03-26,232.6881
2020-03-25,240.6738
2020-03-24,249.7886
2020-03-23,257.7658
2020-03-20,264.4693
2020-03-19,272.3464
2020-03-18,279.8265
2020-03-17,287.6140
2020-03-16,293.5769
2020-03-13,298.5046
2020-03-12,302.9836
2020-03-11,307.6214
2020-03-10,311.4409
2020-03-09,314.4678
2020-03-06,317.1499
2020-03-05,319.2987
2020-03-04,321.2231
2020-03-03,322.9010
2020-03-02,324.5446
2020-02-28,325.9070
2020-02-27,327.0415
2020-02-26,327.5597
2020-02-25,327.5670
2020-02-24,327.4319
2020-02-21,327.1249
2020-02-20,326.8741
2020-02-19,326.4181
2020-02-18,325.8385
2020-02-14,325.0848
2020-02-13,324.3445
2020-02-12,323.6343
2020-02-11,323.1501
2020-02-10,322.8789
2020-02-07,322.8024
2020-02-06,322.9674
2020-02-05,323.0960
2020-02-04,323.5284
2020-02-03,323.8981
2020-01-31,324.2644
2020-01-30,324.6008
2020-01-29,325.0351
2020-01-28,325.5728
2020-01-27,326.3064
2020-01-24,327.0830
2020-01-23,327.6591
2020-01-22,328.4943
2020-01-21,329.4321
2020-01-17,330.4722
2020-01-16,331.4187
2020-01-15,332.3249
2020-01-14,332.9555
2020-01-13,333.4706
2020-01-10,334.3209
2020-01-09,335.2720
2020-01-08,336.5451
2020-01-07,338.3986
2020-01-06,340.3842
2020-01-03,342.1709
2020-01-02,344.1153
2019-12-31,345.7478
2019-12-30,347.5948
2019-12-27,349.4154
2019-12-26,350.8669
2019-12-24,351.9061
2019-12-23,352.8475
2019-12-20,353.6836
2019-12-19,354.3110
2019-12-18,354.7357
2019-12-17,354.9187
2019-12-16,354.8476
2019-12-13,354.8833
2019-12-12,354.9166
2019-12-11,355.3105
2019-12-10,355.6638
2019-12-09,355.6750
2019-12-06,355.4781
2019-12-05,355.4422
2019-12-04,355.3391
2019-12-03,355.2369
2019-12-02,355.1435
2019-11-29,354.7561
2019-11-27,353.9316
2019-11-26,352.7948
2019-11-25,351.7835
2019-11-22,350.6190
2019-11-21,349.8227
2019-11-20,349.0541
2019-11-19,348.3074
2019-11-18,347.8868
2019-11-15,347.6873
2019-11-14,347.5129
2019-11-13,347.4617
2019-11-12,348.0210
2019-11-11,348.8702
2019-11-08,350.0284
2019-11-07,351.1899
2019-11-06,352.4093
2019-11-05,353.5152
2019-11-04,354.8722
2019-11-01,356.5020
2019-10-31,358.2919
2019-10-30,359.5612
2019-10-29,360.5321
2019-10-28,361.3552
2019-10-25,363.0229
2019-10-24,365.1497
2019-10-23,367.3152
2019-10-22,369.4668
2019-10-21,371.3199
2019-10-18,372.4879
2019-10-17,372.8478
2019-10-16,372.5528
2019-10-15,371.9760
2019-10-14,371.5492
2019-10-11,371.5855
2019-10-10,372.0442
2019-10-09,372.6052
2019-10-08,372.8147
2019-10-07,372.5906
2019-10-04,372.2102
2019-10-03,371.9950
2019-10-02,371.5475
2019-10-01,371.1538
2019-09-30,370.1735
2019-09-27,369.0749
2019-09-26,367.7364
2019-09-25,366.0998
2019-09-24,364.2185
2019-09-23,362.3851
2019-09-20,359.9740
2019-09-19,357.3868
2019-09-18,354.5693
2019-09-17,351.5451
2019-09-16,349.1776
2019-09-13,347.0029
2019-09-12,344.7529
2019-09-11,342.8001
2019-09-10,340.8245
2019-09-09,339.5476
2019-09-06,338.6482
2019-09-05,338.1833
2019-09-04,338.1439
2019-09-03,338.4955
2019-08-30,338.6975
2019-08-29,338.5142
2019-08-28,337.8498
2019-08-27,336.6529
2019-08-26,335.9156
2019-08-23,335.3306
2019-08-22,335.7294
2019-08-21,336.0381
2019-08-20,336.8779
2019-08-19,337.3931
2019-08-16,338.1098
2019-08-15,339.1971
2019-08-14,340.6665
2019-08-13,342.0800
2019-08-12,343.5936
2019-08-09,344.9305
2019-08-08,346.1913
2019-08-07,347.4957
2019-08-06,348.6928
2019-08-05,349.7174
2019-08-02,350.7075
2019-08-01,351.5425
2019-07-31,352.3029
2019-07-30,352.9529
2019-07-29,353.5463
2019-07-26,354.2264
2019-07-25,354.7757
2019-07-24,355.1637
2019-07-23,355.1877
2019-07-22,355.1831
2019-07-19,355.1848
2019-07-18,355.3772
2019-07-17,355.8300
2019-07-16,356.0401
2019-07-15,356.0432
2019-07-12,355.7704
2019-07-11,354.9920
2019-07-10,354.6756
2019-07-09,354.5248
2019-07-08,354.4465
2019-07-05,354.3237
2019-07-03,353.9231
2019-07-02,353.3283
2019-07-01,352.5629
2019-06-28,351.9756
2019-06-27,351.5024
2019-06-26,350.7375
2019-06-25,349.5894
2019-06-24,348.2622
2019-06-21,346.6581
2019-06-20,345.3608
2019-06-19,344.2372
2019-06-18,343.6155
2019-06-17,343.2977
2019-06-14,343.5589
2019-06-13,344.0025
2019-06-12,344.1859
2019-06-11,344.2035
2019-06-10,343.8448
2019-06-07,343.5375
2019-06-06,343.6168
2019-06-05,344.4169
2019-06-04,345.7619
2019-06-03,347.4862
2019-05-31,349.3974
2019-05-30,350.6546
2019-05-29,351.5812
2019-05-28,352.3402
2019-05-24,352.8987
2019-05-23,353.7123
2019-05-22,354.8673
2019-05-21,355.7599
2019-05-20,356.3554
2019-05-17,357.2651
2019-05-16,358.2369
2019-05-15,359.7082
2019-05-14,361.4848
2019-05-13,363.5157
2019-05-10,365.1598
2019-05-09,366.3692
2019-05-08,367.2239
2019-05-07,367.7339
2019-05-06,367.8583
2019-05-03,367.8205
2019-05-02,368.4437
2019-05-01,369.4734
2019-04-30,370.3739
2019-04-29,370.7132
2019-04-26,370.3440
2019-04-25,369.7069
2019-04-24,369.0989
2019-04-23,368.7486
2019-04-22,368.5719
2019-04-18,368.4565
2019-04-17,368.8297
2019-04-16,369.8379
2019-04-15,371.6259
2019-04-12,374.1210
2019-04-11,376.1693
2019-04-10,378.5267
2019-04-09,380.9146
2019-04-08,383.0871
2019-04-05,384.8822
2019-04-04,386.3402
2019-04-03,387.7258
2019-04-02,389.2876
2019-04-01,390.8547
2019-03-29,392.2131
2019-03-28,393.6999
2019-03-27,394.9649
2019-03-26,396.0982
2019-03-25,397.1958
2019-03-22,398.2916
2019-03-21,399.2453
2019-03-20,400.0942
2019-03-19,400.7132
2019-03-18,401.1378
