Dates,ROCR Values
2019-08-01,0.9257
2019-07-31,0.9233
2019-07-30,0.9578
2019-07-29,0.9408
2019-07-26,0.9444
2019-07-25,0.9696
2019-07-24,1.0259
2019-07-23,1.0566
2019-07-22,1.0635
2019-07-19,1.0604
2019-07-18,1.0187
2019-07-17,1.0434
2019-07-16,1.0176
2019-07-15,0.9934
2019-07-12,1.0036
2019-07-11,0.9575
2019-07-10,0.9539
2019-07-09,0.9441
2019-07-08,0.9443
2019-07-05,0.9493
2019-07-03,0.9618
2019-07-02,0.9471
2019-07-01,1.0044
2019-06-28,1.0485
2019-06-27,1.0435
2019-06-26,1.0804
2019-06-25,1.0572
2019-06-24,1.0571
2019-06-21,1.0513
2019-06-20,1.0691
2019-06-19,1.0568
2019-06-18,1.0851
2019-06-17,1.0472
2019-06-14,1.0162
2019-06-13,0.9971
2019-06-12,0.9949
2019-06-11,0.9844
2019-06-10,0.9969
2019-06-07,1.0090
2019-06-06,0.9939
2019-06-05,0.9721
2019-06-04,0.9768
2019-06-03,0.9546
2019-05-31,0.9655
2019-05-30,1.0122
2019-05-29,1.0168
2019-05-28,1.0519
2019-05-24,1.0006
2019-05-23,0.9899
2019-05-22,0.9863
2019-05-21,1.0101
2019-05-20,0.9549
2019-05-17,0.9485
2019-05-16,0.9469
2019-05-15,0.9226
2019-05-14,0.9135
2019-05-13,0.8952
2019-05-10,0.9368
2019-05-09,0.9305
2019-05-08,0.9582
2019-05-07,0.9551
2019-05-06,0.9905
2019-05-03,0.9905
2019-05-02,0.9954
2019-05-01,0.9871
2019-04-30,1.0059
2019-04-29,0.9984
2019-04-26,1.0287
2019-04-25,1.0489
2019-04-24,1.0174
2019-04-23,0.9987
2019-04-22,0.9572
2019-04-18,0.9601
2019-04-17,0.9812
2019-04-16,0.9769
2019-04-15,0.9589
2019-04-12,0.9953
2019-04-11,0.9886
2019-04-10,0.9752
2019-04-09,0.9964
2019-04-08,1.0110
2019-04-05,1.0822
2019-04-04,1.0621
2019-04-03,1.0228
2019-04-02,1.0464
2019-04-01,1.0517
2019-03-29,1.0064
2019-03-28,1.0031
2019-03-27,0.9922
2019-03-26,0.9866
2019-03-25,0.9261
2019-03-22,0.8571
2019-03-21,0.8820
2019-03-20,0.8862
2019-03-19,0.8682
2019-03-18,0.8604
2019-03-15,0.8601
2019-03-14,0.8485
2019-03-13,0.8661
2019-03-12,0.8797
2019-03-11,0.9371
2019-03-08,0.9964
2019-03-07,1.0119
2019-03-06,1.0069
2019-03-05,1.0333
2019-03-04,1.0352
2019-03-01,1.0752
2019-02-28,1.0716
2019-02-27,1.0602
2019-02-26,1.0565
2019-02-25,1.0542
2019-02-22,1.0466
2019-02-21,1.0209
2019-02-20,1.0329
2019-02-19,1.0538
2019-02-15,1.0843
2019-02-14,1.0681
2019-02-13,1.0643
2019-02-12,1.1312
2019-02-11,1.1185
2019-02-08,1.1174
2019-02-07,1.1366
2019-02-06,1.1464
2019-02-05,1.1461
2019-02-04,1.0885
2019-02-01,1.0789
2019-01-31,1.0953
2019-01-30,1.1007
2019-01-29,1.0415
2019-01-28,1.0285
2019-01-25,1.0329
2019-01-24,1.0420
2019-01-23,1.0531
2019-01-22,1.0908
2019-01-18,1.1151
2019-01-17,1.1550
2019-01-16,1.0872
2019-01-15,1.0922
2019-01-14,1.1074
2019-01-11,1.1128
2019-01-10,1.1232
2019-01-09,1.1689
2019-01-08,1.1181
2019-01-07,1.0481
2019-01-04,1.0236
2019-01-03,0.9477
2019-01-02,1.0243
2018-12-31,1.0118
2018-12-28,0.9721
2018-12-27,0.9708
2018-12-26,0.9748
2018-12-24,0.9014
2018-12-21,0.9422
2018-12-20,0.9432
2018-12-19,0.9330
2018-12-18,0.9114
2018-12-17,0.9117
2018-12-14,0.9305
2018-12-13,0.9759
2018-12-12,1.0272
2018-12-11,1.0179
2018-12-10,1.0449
2018-12-07,1.0186
2018-12-06,1.0447
