Dates,MINUS_DI Values
2021-05-11,24.2209
2021-05-10,22.5821
2021-05-07,23.0765
2021-05-06,23.5410
2021-05-05,23.5593
2021-05-04,23.9181
2021-05-03,22.5209
2021-04-30,22.7059
2021-04-29,22.9343
2021-04-28,23.0077
2021-04-27,21.9363
2021-04-26,21.9863
2021-04-23,22.3209
2021-04-22,22.5501
2021-04-21,22.8890
2021-04-20,22.7404
2021-04-19,21.0103
2021-04-16,20.3508
2021-04-15,19.9196
2021-04-14,19.7036
2021-04-13,20.0319
2021-04-12,20.4265
2021-04-09,19.9811
2021-04-08,20.2363
2021-04-07,20.1492
2021-04-06,19.5080
2021-04-05,19.3568
2021-04-01,19.6843
2021-03-31,19.5150
2021-03-30,19.7694
2021-03-29,19.9690
2021-03-26,20.4016
2021-03-25,20.8791
2021-03-24,19.9728
2021-03-23,20.3263
2021-03-22,18.4481
2021-03-19,18.5011
2021-03-18,18.0481
2021-03-17,18.5639
2021-03-16,18.9045
2021-03-15,17.0551
2021-03-12,17.6152
2021-03-11,18.3502
2021-03-10,18.8420
2021-03-09,19.5781
2021-03-08,20.1244
2021-03-05,20.4493
2021-03-04,20.0538
2021-03-03,19.3835
2021-03-02,19.9911
2021-03-01,20.2468
2021-02-26,21.0297
2021-02-25,20.6538
2021-02-24,21.4513
2021-02-23,22.4992
2021-02-22,21.8563
2021-02-19,22.4290
2021-02-18,22.9931
2021-02-17,22.1998
2021-02-16,22.5659
2021-02-12,22.9610
2021-02-11,23.1772
2021-02-10,22.8304
2021-02-09,23.2191
2021-02-08,23.7053
2021-02-05,23.9602
2021-02-04,24.0148
2021-02-03,24.3355
2021-02-02,24.7956
2021-02-01,25.2619
2021-01-29,25.4905
2021-01-28,25.3020
2021-01-27,25.7202
2021-01-26,23.8169
2021-01-25,24.2221
2021-01-22,23.3469
2021-01-21,23.0056
2021-01-20,22.0960
2021-01-19,22.3675
2021-01-15,22.7720
2021-01-14,22.0954
2021-01-13,22.4794
2021-01-12,22.6975
2021-01-11,22.9328
2021-01-08,21.6858
2021-01-07,21.1187
2021-01-06,21.4023
2021-01-05,21.7242
2021-01-04,22.2809
2020-12-31,20.4273
2020-12-30,20.2333
2020-12-29,20.1887
2020-12-28,20.4887
2020-12-24,20.4747
2020-12-23,19.8992
2020-12-22,20.1563
2020-12-21,20.4413
2020-12-18,19.1307
2020-12-17,18.9065
2020-12-16,18.1709
2020-12-15,18.4596
2020-12-14,17.8976
2020-12-11,18.2692
2020-12-10,18.5915
2020-12-09,18.9069
2020-12-08,18.0498
2020-12-07,17.7485
2020-12-04,18.2035
2020-12-03,18.5282
2020-12-02,19.3003
2020-12-01,19.9600
2020-11-30,20.3016
2020-11-27,18.9919
2020-11-25,19.1615
2020-11-24,18.8971
2020-11-23,19.3942
2020-11-20,20.0549
2020-11-19,20.2307
2020-11-18,19.9580
2020-11-17,20.9147
2020-11-16,21.6857
2020-11-13,22.5364
2020-11-12,23.1289
2020-11-11,22.5727
2020-11-10,23.1143
2020-11-09,23.9719
2020-11-06,25.6820
2020-11-05,25.9502
2020-11-04,26.3599
2020-11-03,26.6507
2020-11-02,27.0812
2020-10-30,27.5160
2020-10-29,26.7586
2020-10-28,26.6402
2020-10-27,25.3472
2020-10-26,24.6949
2020-10-23,23.4395
2020-10-22,23.6874
2020-10-21,24.0289
2020-10-20,23.6719
2020-10-19,23.8515
2020-10-16,23.8438
2020-10-15,24.3742
2020-10-14,23.8099
2020-10-13,23.9813
2020-10-12,23.3686
2020-10-09,23.3428
2020-10-08,23.5135
2020-10-07,23.7569
2020-10-06,24.1230
2020-10-05,23.1411
2020-10-02,23.3822
2020-10-01,22.9491
2020-09-30,23.3393
2020-09-29,23.7284
2020-09-28,23.9441
2020-09-25,24.5884
2020-09-24,25.1572
2020-09-23,24.1897
2020-09-22,23.7963
2020-09-21,24.0669
2020-09-18,22.9285
2020-09-17,23.3689
2020-09-16,23.7495
2020-09-15,23.6209
2020-09-14,23.9054
2020-09-11,24.2714
2020-09-10,24.2656
2020-09-09,24.5880
2020-09-08,24.1612
2020-09-04,23.9588
2020-09-03,23.5330
2020-09-02,24.1737
