Dates,MACDEXT Values
2020-08-04,6.7151
2020-08-03,4.9452
2020-07-31,1.7699
2020-07-30,6.2074
2020-07-29,4.5419
2020-07-28,1.6655
2020-07-27,5.7712
2020-07-24,4.1014
2020-07-23,1.6698
2020-07-22,5.5473
2020-07-21,3.7381
2020-07-20,1.8092
2020-07-17,5.2092
2020-07-16,3.4109
2020-07-15,1.7983
2020-07-14,4.4533
2020-07-13,3.1250
2020-07-10,1.3283
2020-07-09,3.9919
2020-07-08,2.9325
2020-07-07,1.0595
2020-07-06,3.5047
2020-07-02,2.8212
2020-07-01,0.6836
2020-06-30,3.1065
2020-06-29,2.6876
2020-06-26,0.4188
2020-06-25,3.0856
2020-06-24,2.4593
2020-06-23,0.6263
2020-06-22,2.2430
2020-06-19,2.2031
2020-06-18,0.0399
2020-06-17,2.5010
2020-06-16,2.0439
2020-06-15,0.4571
2020-06-12,2.6027
2020-06-11,1.9209
2020-06-10,0.6818
2020-06-09,2.6362
2020-06-08,1.8205
2020-06-05,0.8157
2020-06-04,2.7204
2020-06-03,1.8076
2020-06-02,0.9128
2020-06-01,2.9903
2020-05-29,1.8472
2020-05-28,1.1431
2020-05-27,2.3031
2020-05-26,1.9497
2020-05-22,0.3533
2020-05-21,1.0513
2020-05-20,2.1034
2020-05-19,-1.0521
2020-05-18,0.7798
2020-05-15,2.3797
2020-05-14,-1.5999
2020-05-13,0.8103
2020-05-12,2.6741
2020-05-11,-1.8638
2020-05-08,1.3938
2020-05-07,2.9025
2020-05-06,-1.5087
2020-05-05,1.6992
2020-05-04,2.9755
2020-05-01,-1.2762
2020-04-30,2.5199
2020-04-29,2.8161
2020-04-28,-0.2962
2020-04-27,3.0772
2020-04-24,2.3913
2020-04-23,0.6859
2020-04-22,3.9131
2020-04-21,1.6908
2020-04-20,2.2223
2020-04-17,3.6856
2020-04-16,0.7366
2020-04-15,2.9490
2020-04-14,3.5381
2020-04-13,-0.3834
2020-04-09,3.9215
2020-04-08,3.4297
2020-04-07,-1.6187
2020-04-06,5.0483
2020-04-03,2.8654
2020-04-02,-3.1076
2020-04-01,5.9730
2020-03-31,2.0509
2020-03-30,-4.7593
2020-03-27,6.8102
2020-03-26,0.2649
2020-03-25,-6.5914
2020-03-24,6.8563
2020-03-23,-1.3036
2020-03-20,-8.4599
2020-03-19,7.1563
2020-03-18,-3.2265
2020-03-17,-10.3443
2020-03-16,7.1179
2020-03-13,-4.6749
2020-03-12,-12.1841
2020-03-11,7.5092
2020-03-10,-6.3944
2020-03-09,-13.8481
2020-03-06,7.4537
2020-03-05,-7.5794
2020-03-04,-15.3240
2020-03-03,7.7446
2020-03-02,-9.9710
2020-02-28,-16.5980
2020-02-27,6.6270
2020-02-26,-11.9993
2020-02-25,-17.5715
2020-02-24,5.5722
2020-02-21,-14.4384
2020-02-20,-18.3174
2020-02-19,3.8790
2020-02-18,-16.5516
2020-02-14,-18.8212
2020-02-13,2.2696
2020-02-12,-18.2635
2020-02-11,-19.0413
2020-02-10,0.7777
2020-02-07,-19.7845
2020-02-06,-19.0389
2020-02-05,-0.7456
2020-02-04,-19.6512
2020-02-03,-18.7154
2020-01-31,-0.9358
2020-01-30,-19.6769
2020-01-29,-18.2400
2020-01-28,-1.4369
2020-01-27,-19.0456
2020-01-24,-17.6017
2020-01-23,-1.4439
2020-01-22,-18.7322
2020-01-21,-16.8404
2020-01-17,-1.8918
2020-01-16,-18.7123
2020-01-15,-15.9898
2020-01-14,-2.7225
2020-01-13,-18.9728
2020-01-10,-14.9977
2020-01-09,-3.9751
2020-01-08,-18.5324
2020-01-07,-13.8981
2020-01-06,-4.6343
2020-01-03,-18.2423
2020-01-02,-12.7361
2019-12-31,-5.5063
2019-12-30,-16.8728
2019-12-27,-11.4618
2019-12-26,-5.4110
2019-12-24,-15.3727
2019-12-23,-10.2446
2019-12-20,-5.1281
2019-12-19,-13.9320
2019-12-18,-9.1588
2019-12-17,-4.7732
2019-12-16,-12.1942
2019-12-13,-8.1754
2019-12-12,-4.0189
2019-12-11,-11.0763
2019-12-10,-7.3940
2019-12-09,-3.6823
2019-12-06,-9.7837
2019-12-05,-6.7719
2019-12-04,-3.0118
2019-12-03,-9.0767
2019-12-02,-6.2919
2019-11-29,-2.7847
