Dates,APO Values
2020-10-14,-0.1893
2020-10-13,-0.0768
2020-10-12,0.1799
2020-10-09,-0.0255
2020-10-08,-0.2853
2020-10-07,-0.6809
2020-10-06,-0.8308
2020-10-05,-0.4938
2020-10-02,-1.2438
2020-10-01,-1.8652
2020-09-30,-2.6088
2020-09-29,-3.2552
2020-09-28,-3.8639
2020-09-25,-4.8372
2020-09-24,-4.9858
2020-09-23,-4.0868
2020-09-22,-3.4023
2020-09-21,-3.0513
2020-09-18,-2.5130
2020-09-17,-2.2772
2020-09-16,-2.5937
2020-09-15,-2.9529
2020-09-14,-2.9641
2020-09-11,-3.1247
2020-09-10,-2.7629
2020-09-09,-2.0023
2020-09-08,-1.3171
2020-09-04,-0.4538
2020-09-03,-0.3605
2020-09-02,-0.0040
2020-09-01,-0.1608
2020-08-31,-0.0858
2020-08-28,0.0397
2020-08-27,-0.2059
2020-08-26,-0.3535
2020-08-25,-0.3025
2020-08-24,-0.5212
2020-08-21,-1.1532
2020-08-20,-0.8465
2020-08-19,-0.6546
2020-08-18,-0.3685
2020-08-17,-0.0957
2020-08-14,0.0727
2020-08-13,-0.3316
2020-08-12,-0.5016
2020-08-11,-0.7836
2020-08-10,-1.6097
2020-08-07,-2.5674
2020-08-06,-2.7963
2020-08-05,-3.2697
2020-08-04,-4.0383
2020-08-03,-4.0227
2020-07-31,-3.6593
2020-07-30,-2.7074
2020-07-29,-1.8552
2020-07-28,-1.1540
2020-07-27,-0.7339
2020-07-24,-0.1229
2020-07-23,0.2972
2020-07-22,0.5553
2020-07-21,0.5365
2020-07-20,0.6229
2020-07-17,1.1527
2020-07-16,1.6859
2020-07-15,2.0325
2020-07-14,1.5044
2020-07-13,1.6210
2020-07-10,2.1851
2020-07-09,2.5893
2020-07-08,3.5928
2020-07-07,4.1291
2020-07-06,4.8758
2020-07-02,4.8384
2020-07-01,5.4432
2020-06-30,6.1859
2020-06-29,6.7404
2020-06-26,6.2109
2020-06-25,7.9371
2020-06-24,9.5291
2020-06-23,11.2382
2020-06-22,12.1168
2020-06-19,12.9968
2020-06-18,14.0837
2020-06-17,14.7295
2020-06-16,15.3141
2020-06-15,15.3050
2020-06-12,15.7662
2020-06-11,16.2711
2020-06-10,18.6654
2020-06-09,18.0481
2020-06-08,15.6404
2020-06-05,10.9389
2020-06-04,7.3315
2020-06-03,4.7719
2020-06-02,2.5698
2020-06-01,1.7428
2020-05-29,0.8574
2020-05-28,0.2789
2020-05-27,-0.8677
2020-05-26,-2.2881
2020-05-22,-3.5800
2020-05-21,-4.4437
2020-05-20,-5.6312
2020-05-19,-6.4867
2020-05-18,-7.1910
2020-05-15,-8.4944
2020-05-14,-8.4624
2020-05-13,-8.5551
2020-05-12,-8.4451
2020-05-11,-8.5606
2020-05-08,-8.9593
2020-05-07,-9.7990
2020-05-06,-10.2405
2020-05-05,-9.9638
2020-05-04,-9.8261
2020-05-01,-10.1245
2020-04-30,-10.5525
2020-04-29,-11.7243
2020-04-28,-12.8436
2020-04-27,-13.3015
2020-04-24,-13.4256
2020-04-23,-13.4194
2020-04-22,-14.1082
2020-04-21,-14.5000
2020-04-20,-14.9278
2020-04-17,-15.9978
2020-04-16,-18.1887
2020-04-15,-18.7087
2020-04-14,-20.2956
2020-04-13,-21.5188
2020-04-09,-23.4115
2020-04-08,-25.9460
2020-04-07,-28.2975
2020-04-06,-30.3486
2020-04-03,-33.2572
2020-04-02,-34.0169
2020-04-01,-34.3644
2020-03-31,-35.0646
2020-03-30,-37.3258
2020-03-27,-39.9888
2020-03-26,-43.7957
2020-03-25,-49.9064
2020-03-24,-54.7582
2020-03-23,-56.9930
2020-03-20,-56.7704
2020-03-19,-54.5801
2020-03-18,-51.2656
2020-03-17,-46.7149
2020-03-16,-42.4926
2020-03-13,-37.0423
2020-03-12,-33.6797
2020-03-11,-27.3340
2020-03-10,-22.3232
2020-03-09,-19.8722
2020-03-06,-16.0638
2020-03-05,-14.5491
2020-03-04,-12.2047
2020-03-03,-11.3511
2020-03-02,-9.8421
2020-02-28,-8.6535
2020-02-27,-5.5689
2020-02-26,-2.8388
2020-02-25,-1.1283
2020-02-24,1.2190
2020-02-21,2.7962
2020-02-20,3.4980
2020-02-19,3.7420
2020-02-18,3.7934
2020-02-14,3.7448
2020-02-13,3.4644
2020-02-12,2.8188
2020-02-11,1.6932
