Dates,PPO Values
2019-12-13,-1.1054
2019-12-12,-0.9062
2019-12-11,-0.7733
2019-12-10,-0.6995
2019-12-09,-0.5359
2019-12-06,-0.4145
2019-12-05,-0.3359
2019-12-04,0.0066
2019-12-03,0.3523
2019-12-02,0.6957
2019-11-29,1.0362
2019-11-27,1.1497
2019-11-26,1.2274
2019-11-25,1.1553
2019-11-22,1.0560
2019-11-21,0.9630
2019-11-20,0.9669
2019-11-19,0.8318
2019-11-18,0.7564
2019-11-15,0.5789
2019-11-14,0.2791
2019-11-13,0.0113
2019-11-12,-0.1905
2019-11-11,-0.4569
2019-11-08,-0.9099
2019-11-07,-1.0124
2019-11-06,-1.3121
2019-11-05,-1.5258
2019-11-04,-1.8955
2019-11-01,-2.1300
2019-10-31,-2.2263
2019-10-30,-2.1640
2019-10-29,-2.2330
2019-10-28,-2.3721
2019-10-25,-2.2836
2019-10-24,-2.1101
2019-10-23,-1.9963
2019-10-22,-1.7103
2019-10-21,-1.2279
2019-10-18,-0.4397
2019-10-17,0.2035
2019-10-16,0.3331
2019-10-15,0.4017
2019-10-14,0.5234
2019-10-11,0.6107
2019-10-10,0.6661
2019-10-09,0.8335
2019-10-08,0.9276
2019-10-07,1.0575
2019-10-04,1.1420
2019-10-03,1.2559
2019-10-02,1.4813
2019-10-01,1.8746
2019-09-30,2.1450
2019-09-27,2.3105
2019-09-26,2.4236
2019-09-25,2.4232
2019-09-24,2.4045
2019-09-23,2.4675
2019-09-20,2.6369
2019-09-19,2.7502
2019-09-18,2.7155
2019-09-17,2.5746
2019-09-16,2.4139
2019-09-13,2.3185
2019-09-12,2.1342
2019-09-11,1.9801
2019-09-10,1.5427
2019-09-09,1.3396
2019-09-06,1.3660
2019-09-05,1.2579
2019-09-04,1.1783
2019-09-03,1.1677
2019-08-30,1.1979
2019-08-29,0.9372
2019-08-28,0.6272
2019-08-27,0.3005
2019-08-26,0.0317
2019-08-23,-0.4425
2019-08-22,-0.9544
2019-08-21,-1.5492
2019-08-20,-1.8494
2019-08-19,-1.9547
2019-08-16,-2.1227
2019-08-15,-2.2050
2019-08-14,-2.2043
2019-08-13,-1.9447
2019-08-12,-1.9625
2019-08-09,-1.9599
2019-08-08,-2.0668
2019-08-07,-2.1378
2019-08-06,-1.9905
2019-08-05,-1.8082
2019-08-02,-1.5124
2019-08-01,-1.3640
2019-07-31,-1.0052
2019-07-30,-0.7348
2019-07-29,-0.5606
2019-07-26,-0.1262
2019-07-25,0.2907
2019-07-24,0.7290
2019-07-23,0.9044
2019-07-22,0.7907
2019-07-19,0.6232
2019-07-18,0.2880
2019-07-17,0.3126
2019-07-16,0.1017
2019-07-15,0.0221
2019-07-12,-0.0475
2019-07-11,-0.2417
2019-07-10,-0.3061
2019-07-09,-0.1931
2019-07-08,-0.0690
2019-07-05,0.1458
2019-07-03,0.2832
2019-07-02,0.4934
2019-07-01,0.7626
2019-06-28,1.0301
2019-06-27,1.1455
2019-06-26,1.2759
2019-06-25,1.1183
2019-06-24,1.0570
2019-06-21,0.8308
2019-06-20,0.5885
2019-06-19,0.1814
2019-06-18,-0.1633
2019-06-17,-0.7602
2019-06-14,-0.9603
2019-06-13,-0.9767
2019-06-12,-1.0329
2019-06-11,-1.0366
2019-06-10,-1.0932
2019-06-07,-1.2792
2019-06-06,-1.4951
2019-06-05,-1.6598
2019-06-04,-1.7908
2019-06-03,-1.8121
2019-05-31,-1.6481
2019-05-30,-1.4959
2019-05-29,-1.5188
2019-05-28,-1.4958
2019-05-24,-1.6193
2019-05-23,-1.7540
2019-05-22,-1.7762
2019-05-21,-1.8428
2019-05-20,-2.0716
2019-05-17,-2.1633
2019-05-16,-2.3129
2019-05-15,-2.4359
2019-05-14,-2.3264
2019-05-13,-2.0832
2019-05-10,-1.5902
2019-05-09,-1.4254
2019-05-08,-1.1821
2019-05-07,-0.9547
2019-05-06,-0.5852
2019-05-03,-0.4958
2019-05-02,-0.5056
2019-05-01,-0.4931
2019-04-30,-0.4970
2019-04-29,-0.5187
2019-04-26,-0.5753
2019-04-25,-0.6861
2019-04-24,-0.8717
2019-04-23,-0.8980
2019-04-22,-0.8799
2019-04-18,-0.8753
2019-04-17,-0.9884
2019-04-16,-1.0498
2019-04-15,-1.2259
2019-04-12,-1.2643
2019-04-11,-1.4075
2019-04-10,-1.3154
2019-04-09,-1.0409
2019-04-08,-0.7878
2019-04-05,-0.6003
2019-04-04,-0.8125
2019-04-03,-1.1759
2019-04-02,-1.3279
2019-04-01,-1.6625
2019-03-29,-2.0868
2019-03-28,-2.3271
2019-03-27,-2.4129
2019-03-26,-2.4819
2019-03-25,-2.4330
2019-03-22,-2.3398
2019-03-21,-1.9723
2019-03-20,-1.7567
2019-03-19,-1.5495
2019-03-18,-1.1960
2019-03-15,-0.7039
2019-03-14,-0.2427
2019-03-13,0.4858
2019-03-12,1.3029
2019-03-11,2.3581
2019-03-08,3.0660
2019-03-07,3.3821
2019-03-06,3.7361
2019-03-05,4.0883
2019-03-04,4.3423
2019-03-01,4.5402
2019-02-28,4.5319
2019-02-27,4.4648
2019-02-26,4.4177
2019-02-25,4.5017
2019-02-22,4.5365
2019-02-21,4.5803
