Dates,EMA Values
2021-06-04,238.4180
2021-06-03,237.9486
2021-06-02,237.4436
2021-06-01,236.7017
2021-05-28,235.9659
2021-05-27,235.5147
2021-05-26,234.8949
2021-05-25,234.6306
2021-05-24,234.3812
2021-05-21,234.2564
2021-05-20,234.2334
2021-05-19,234.5021
2021-05-18,234.9136
2021-05-17,235.2142
2021-05-14,235.5094
2021-05-13,235.7968
2021-05-12,236.3338
2021-05-11,236.9686
2021-05-10,237.2988
2021-05-07,237.4771
2021-05-06,237.5590
2021-05-05,237.8753
2021-05-04,238.2710
2021-05-03,238.4604
2021-04-30,238.5939
2021-04-29,238.7688
2021-04-28,238.8842
2021-04-27,239.0240
2021-04-26,238.8834
2021-04-23,238.7790
2021-04-22,238.7953
2021-04-21,238.9775
2021-04-20,239.1023
2021-04-19,239.3082
2021-04-16,239.1105
2021-04-15,238.7403
2021-04-14,238.2355
2021-04-13,237.6561
2021-04-12,237.0188
2021-04-09,236.5085
2021-04-08,235.8615
2021-04-07,235.0824
2021-04-06,234.3682
2021-04-05,233.5192
2021-04-01,232.4644
2021-03-31,231.6279
2021-03-30,230.6854
2021-03-29,229.8150
2021-03-26,228.9699
2021-03-25,228.3209
2021-03-24,227.5507
2021-03-23,227.0736
2021-03-22,226.4950
2021-03-19,225.4854
2021-03-18,224.2472
2021-03-17,222.9487
2021-03-16,221.2899
2021-03-15,219.9054
2021-03-12,218.0391
2021-03-11,215.9513
2021-03-10,214.4799
2021-03-09,213.2204
2021-03-08,212.5106
2021-03-05,212.0404
2021-03-04,211.5841
2021-03-03,211.0483
2021-03-02,210.3336
2021-03-01,209.8109
2021-02-26,209.2158
2021-02-25,209.1017
2021-02-24,208.8018
2021-02-23,207.9635
2021-02-22,207.7939
2021-02-19,207.5863
2021-02-18,207.1829
2021-02-17,207.1299
2021-02-16,206.7875
2021-02-12,206.3633
2021-02-11,206.1748
2021-02-10,205.9918
2021-02-09,205.7498
2021-02-08,205.3673
2021-02-05,205.0987
2021-02-04,204.9831
2021-02-03,204.7522
2021-02-02,204.6445
2021-02-01,204.7957
2021-01-29,205.1613
2021-01-28,205.6091
2021-01-27,205.9511
2021-01-26,206.4377
2021-01-25,206.6163
2021-01-22,206.7493
2021-01-21,206.7864
2021-01-20,206.7609
2021-01-19,206.5695
2021-01-15,206.4005
2021-01-14,206.4854
2021-01-13,206.3457
2021-01-12,206.3104
2021-01-11,206.2247
2021-01-08,206.2016
2021-01-07,206.0507
2021-01-06,205.7788
2021-01-05,205.5645
2021-01-04,205.3169
2020-12-31,205.4229
2020-12-30,205.0704
2020-12-29,204.5970
2020-12-28,204.1213
2020-12-24,203.6328
2020-12-23,203.0811
2020-12-22,202.4032
2020-12-21,201.7347
2020-12-18,201.0174
2020-12-17,200.2528
2020-12-16,199.3962
2020-12-15,198.3156
2020-12-14,197.0428
2020-12-11,195.7539
2020-12-10,194.3426
2020-12-09,192.7064
2020-12-08,191.1001
2020-12-07,189.2442
2020-12-04,187.2472
2020-12-03,185.3916
2020-12-02,183.2770
2020-12-01,181.6209
2020-11-30,180.3398
2020-11-27,179.1002
2020-11-25,177.5736
2020-11-24,175.9395
2020-11-23,174.2027
2020-11-20,172.6792
2020-11-19,171.5796
2020-11-18,170.1881
2020-11-17,168.8366
2020-11-16,167.1544
2020-11-13,165.7158
2020-11-12,164.8426
2020-11-11,164.3578
2020-11-10,163.6316
2020-11-09,162.6088
2020-11-06,161.9251
2020-11-05,162.0959
2020-11-04,162.3002
2020-11-03,162.7357
2020-11-02,163.1066
2020-10-30,163.6987
2020-10-29,164.4868
2020-10-28,165.1479
2020-10-27,165.8421
2020-10-26,166.2748
2020-10-23,166.4971
2020-10-22,166.4619
2020-10-21,166.3554
2020-10-20,166.4573
2020-10-19,166.4253
2020-10-16,166.3974
2020-10-15,166.3585
2020-10-14,166.4449
2020-10-13,166.5758
2020-10-12,166.7568
2020-10-09,166.7326
2020-10-08,166.7082
2020-10-07,166.6555
2020-10-06,166.7390
2020-10-05,167.0328
2020-10-02,166.8627
2020-10-01,166.8130
2020-09-30,166.7703
2020-09-29,166.8320
2020-09-28,166.9639
2020-09-25,167.0000
2020-09-24,167.4477
2020-09-23,168.3211
2020-09-22,169.0207
2020-09-21,169.5195
2020-09-18,170.0571
2020-09-17,170.4210
2020-09-16,170.5390
2020-09-15,170.6647
2020-09-14,170.9575
2020-09-11,171.1864
2020-09-10,171.6336
2020-09-09,172.2027
2020-09-08,172.6690
2020-09-04,173.1420
2020-09-03,173.2274
2020-09-02,173.4093
2020-09-01,173.3534
2020-08-31,173.4045
2020-08-28,173.4692
2020-08-27,173.3741
2020-08-26,173.3404
2020-08-25,173.3991
2020-08-24,173.3448
2020-08-21,173.1438
2020-08-20,173.3742
2020-08-19,173.5290
2020-08-18,173.7029
2020-08-17,173.8446
2020-08-14,173.9195
2020-08-13,173.7497
2020-08-12,173.7097
2020-08-11,173.6390
2020-08-10,173.3741
2020-08-07,173.1277
2020-08-06,173.2546
2020-08-05,173.2976
2020-08-04,173.2575
2020-08-03,173.5917
2020-07-31,174.0538
2020-07-30,174.7091
2020-07-29,175.2299
2020-07-28,175.6062
2020-07-27,175.8007
2020-07-24,176.0289
