Dates,ROC Values
2020-01-06,-1.4216
2020-01-03,-0.6903
2020-01-02,1.2617
2019-12-31,-4.7577
2019-12-30,-11.0504
2019-12-27,-10.8453
2019-12-26,-10.5517
2019-12-24,-10.2537
2019-12-23,-9.4497
2019-12-20,-11.0818
2019-12-19,-10.5456
2019-12-18,-11.0981
2019-12-17,-12.6572
2019-12-16,-12.4619
2019-12-13,-7.6424
2019-12-12,-5.1934
2019-12-11,-6.1149
2019-12-10,-8.0346
2019-12-09,-7.7391
2019-12-06,-7.9515
2019-12-05,-9.9772
2019-12-04,-8.0712
2019-12-03,-6.0804
2019-12-02,-5.8429
2019-11-29,-4.2020
2019-11-27,-4.2166
2019-11-26,-2.2233
2019-11-25,-0.9434
2019-11-22,-1.6548
2019-11-21,-1.8855
2019-11-20,-2.5844
2019-11-19,-0.1026
2019-11-18,3.5690
2019-11-15,2.9801
2019-11-14,2.5682
2019-11-13,2.2592
2019-11-12,2.9759
2019-11-11,1.3679
2019-11-08,-2.6800
2019-11-07,-0.1681
2019-11-06,-0.1522
2019-11-05,-0.2089
2019-11-04,-1.3820
2019-11-01,-2.6015
2019-10-31,-0.0235
2019-10-30,4.3135
2019-10-29,4.5389
2019-10-28,3.1563
2019-10-25,3.6067
2019-10-24,7.5307
2019-10-23,2.2953
2019-10-22,1.2194
2019-10-21,-1.9227
2019-10-18,2.2744
2019-10-17,12.0511
2019-10-16,12.7103
2019-10-15,12.7368
2019-10-14,10.5725
2019-10-11,12.8393
2019-10-10,9.4046
2019-10-09,8.5739
2019-10-08,10.6333
2019-10-07,9.8089
2019-10-04,8.5913
2019-10-03,3.5728
2019-10-02,-0.9289
2019-10-01,1.0205
2019-09-30,1.4402
2019-09-27,6.6709
2019-09-26,5.3404
2019-09-25,7.1150
2019-09-24,6.1867
2019-09-23,3.8331
2019-09-20,6.3253
2019-09-19,9.7896
2019-09-18,10.1053
2019-09-17,10.0898
2019-09-16,7.1108
2019-09-13,7.7892
2019-09-12,6.7102
2019-09-11,8.0850
2019-09-10,2.1256
2019-09-09,-0.8373
2019-09-06,-2.5930
2019-09-05,-1.8463
2019-09-04,-4.0861
2019-09-03,-4.1025
2019-08-30,-2.2849
2019-08-29,-0.9778
2019-08-28,-3.1529
2019-08-27,0.5628
2019-08-26,4.0539
2019-08-23,2.6730
2019-08-22,2.7506
2019-08-21,-2.0791
2019-08-20,-5.6594
2019-08-19,-5.0553
2019-08-16,-5.1823
2019-08-15,-5.3752
2019-08-14,-6.4542
2019-08-13,-1.1792
2019-08-12,-1.9425
2019-08-09,-2.9319
2019-08-08,-2.9802
2019-08-07,-6.6220
2019-08-06,-6.3257
2019-08-05,-5.5598
2019-08-02,-3.7474
2019-08-01,-6.8181
2019-07-31,-3.2909
2019-07-30,-2.1295
2019-07-29,-3.8439
2019-07-26,-0.1852
2019-07-25,1.4721
2019-07-24,7.1316
2019-07-23,5.1879
2019-07-22,5.4472
2019-07-19,5.5038
2019-07-18,1.6727
2019-07-17,0.0173
2019-07-16,-3.0827
2019-07-15,-3.2176
2019-07-12,-2.4814
2019-07-11,-4.3969
2019-07-10,-6.5178
2019-07-09,-6.7363
2019-07-08,-7.7436
2019-07-05,-4.6703
2019-07-03,-4.6770
2019-07-02,-5.0523
2019-07-01,-5.6678
2019-06-28,-3.0191
2019-06-27,-4.0835
