Dates,SAR Values
2019-04-03,385.6254
2019-04-02,387.3197
2019-04-01,389.5041
2019-03-29,391.8280
2019-03-28,394.3002
2019-03-27,396.9302
2019-03-26,399.7280
2019-03-25,402.7045
2019-03-22,405.8709
2019-03-21,408.5557
2019-03-20,411.3818
2019-03-19,414.3567
2019-03-18,417.4881
2019-03-15,420.7843
2019-03-14,424.2540
2019-03-13,427.9064
2019-03-12,430.8596
2019-03-11,433.9359
2019-03-08,434.8057
2019-03-07,435.3786
2019-03-06,435.6123
2019-03-05,416.6841
2019-03-04,416.2487
2019-03-01,411.4078
2019-02-28,406.7817
2019-02-27,402.5284
2019-02-26,398.9709
2019-02-25,394.6847
2019-02-22,390.8962
2019-02-21,387.0729
2019-02-20,383.0141
2019-02-19,379.2351
2019-02-15,374.8915
2019-02-14,371.0451
2019-02-13,366.6741
2019-02-12,362.2844
2019-02-11,357.3520
2019-02-08,351.8101
2019-02-07,345.5831
2019-02-06,338.5866
2019-02-05,331.8573
2019-02-04,326.5168
2019-02-01,321.7177
2019-01-31,317.2631
2019-01-30,312.4733
2019-01-29,309.6061
2019-01-28,307.1147
2019-01-25,304.4922
2019-01-24,301.7317
2019-01-23,298.8259
2019-01-22,295.7671
2019-01-18,292.5474
2019-01-17,290.0054
2019-01-16,288.3053
2019-01-15,287.1615
2019-01-14,285.9944
2019-01-11,284.8034
2019-01-10,284.2107
2019-01-09,339.1715
2019-01-08,340.8713
2019-01-07,342.6237
2019-01-04,344.4302
2019-01-03,346.2927
2019-01-02,348.2128
2018-12-31,350.1922
2018-12-28,352.2329
2018-12-27,354.3367
2018-12-26,356.5055
2018-12-24,357.9474
2018-12-21,358.5790
2018-12-20,296.2257
2018-12-19,295.5958
2018-12-18,294.9596
2018-12-17,294.3170
2018-12-14,293.6679
2018-12-13,293.0123
2018-12-12,292.3500
2018-12-11,291.6810
2018-12-10,291.0052
2018-12-07,290.3227
2018-12-06,289.6332
2018-12-04,288.9368
2018-12-03,288.2333
2018-11-30,347.5471
2018-11-29,349.3815
2018-11-28,351.2727
2018-11-27,353.2224
2018-11-26,355.2324
2018-11-23,357.3045
2018-11-21,359.4407
2018-11-20,361.6430
2018-11-19,362.7328
2018-11-16,363.1462
2018-11-15,326.0492
2018-11-14,324.9019
2018-11-13,323.7191
2018-11-12,322.4997
2018-11-09,321.2426
2018-11-08,319.9466
2018-11-07,319.1158
2018-11-06,318.7090
2018-11-05,318.2980
2018-11-02,317.8830
2018-11-01,359.6191
2018-10-31,361.8157
2018-10-30,364.1279
2018-10-29,366.5619
2018-10-26,368.0180
2018-10-25,369.5348
2018-10-24,371.1148
2018-10-23,372.7607
2018-10-22,373.7510
2018-10-19,374.7719
2018-10-18,375.8245
2018-10-17,376.9096
2018-10-16,378.0282
2018-10-15,379.1814
2018-10-12,380.3703
2018-10-11,381.1230
2018-10-10,381.3861
2018-10-09,358.2976
2018-10-08,355.4440
2018-10-05,352.2377
2018-10-04,348.6351
2018-10-03,344.5872
2018-10-02,341.1073
2018-10-01,338.1827
2018-09-28,336.1132
2018-09-27,334.2866
2018-09-26,332.3224
2018-09-25,330.2105
2018-09-24,327.9396
2018-09-21,325.4977
2018-09-20,323.3227
2018-09-19,321.4402
2018-09-18,320.0899
2018-09-17,319.1521
2018-09-14,318.1853
2018-09-13,317.5639
2018-09-12,317.3026
2018-09-11,341.3047
2018-09-10,341.7946
2018-09-07,341.7946
2018-09-06,341.9720
2018-09-05,342.4755
2018-09-04,342.9892
2018-08-31,343.5135
2018-08-30,344.0484
2018-08-29,344.1151
2018-08-28,344.6623
2018-08-27,345.2206
2018-08-24,345.7904
2018-08-23,346.3718
2018-08-22,346.9650
2018-08-21,347.5704
2018-08-20,348.1881
2018-08-17,348.8184
2018-08-16,349.4616
2018-08-15,350.1179
2018-08-14,350.3671
2018-08-13,350.6188
2018-08-10,350.8730
2018-08-09,330.9629
2018-08-08,330.1333
2018-08-07,329.2692
2018-08-06,328.3690
2018-08-03,327.4313
2018-08-02,326.4546
2018-08-01,325.4372
2018-07-31,324.3773
2018-07-30,323.2733
2018-07-27,322.1234
2018-07-26,321.3140
2018-07-25,320.4796
2018-07-24,319.6193
2018-07-23,318.7325
2018-07-20,317.8182
2018-07-19,316.8757
2018-07-18,315.9040
2018-07-17,315.2992
2018-07-16,315.0196
2018-07-13,341.3109
2018-07-12,342.4064
2018-07-11,343.5475
2018-07-10,344.7361
2018-07-09,345.9743
2018-07-06,347.2641
2018-07-05,348.6076
2018-07-03,350.0071
2018-07-02,351.4649
2018-06-29,352.9835
2018-06-28,354.5653
2018-06-27,355.7792
2018-06-26,357.0305
2018-06-25,358.3206
2018-06-22,359.0294
2018-06-21,359.7526
2018-06-20,360.0948
2018-06-19,360.4404
2018-06-18,338.5525
2018-06-15,337.1554
2018-06-14,335.6691
2018-06-13,334.0879
2018-06-12,332.4059
2018-06-11,330.6164
2018-06-08,328.7128
2018-06-07,326.6876
2018-06-06,325.0570
2018-06-05,323.9629
2018-06-04,322.8232
2018-06-01,321.6360
2018-05-31,320.3994
2018-05-30,319.1112
2018-05-29,317.7693
2018-05-25,316.3715
2018-05-24,314.9155
2018-05-23,313.3989
2018-05-22,311.8190
2018-05-21,310.1733
2018-05-18,309.2863
2018-05-17,308.7513
2018-05-16,308.2054
2018-05-15,307.6483
2018-05-14,307.0799
2018-05-11,306.4999
2018-05-10,305.9080
2018-05-09,305.6417
2018-05-08,331.1593
2018-05-07,331.6801
2018-05-04,332.2115
2018-05-03,332.7537
2018-05-02,332.9806
2018-05-01,309.9307
2018-04-30,308.7175
2018-04-27,307.4405
2018-04-26,306.0963
2018-04-25,304.6813
2018-04-24,303.1919
2018-04-23,302.1606
2018-04-20,301.0863
2018-04-19,299.9673
2018-04-18,299.1024
2018-04-17,298.5660
2018-04-16,298.2957
2018-04-13,298.0228
2018-04-12,325.4359
2018-04-11,326.8787
2018-04-10,328.3975
2018-04-09,329.9961
2018-04-06,331.6790
2018-04-05,333.4503
2018-04-04,335.3149
2018-04-03,337.2777
2018-04-02,339.3437
2018-03-29,341.5185
2018-03-28,343.8078
2018-03-27,345.4301
2018-03-26,347.1200
2018-03-23,348.8803
2018-03-22,350.2210
2018-03-21,351.0687
2018-03-20,351.9338
2018-03-19,352.8164
2018-03-16,353.7171
2018-03-15,354.6362
2018-03-14,355.5740
2018-03-13,355.8996
2018-03-12,327.0004
2018-03-09,325.1558
2018-03-08,324.3986
2018-03-07,322.3879
2018-03-06,321.1333
2018-03-05,319.3475
2018-03-02,317.0144
2018-03-01,314.5324
2018-02-28,311.8919
2018-02-27,309.6619
2018-02-26,308.0367
2018-02-23,306.8760
2018-02-22,305.6794
2018-02-21,304.4458
2018-02-20,303.6322
2018-02-16,302.8021
2018-02-15,302.4113
2018-02-14,341.5401
2018-02-13,341.9353
2018-02-12,342.3345
2018-02-09,342.7378
2018-02-08,343.1451
2018-02-07,343.5566
2018-02-06,343.9722
2018-02-05,344.3920
2018-02-02,317.2005
2018-02-01,316.6456
2018-01-31,316.3699
2018-01-30,334.4814
2018-01-29,334.6643
2018-01-26,334.8491
2018-01-25,335.0358
2018-01-24,335.2243
2018-01-23,335.4147
2018-01-22,335.6071
2018-01-19,317.1159
2018-01-18,312.4931
2018-01-17,306.7146
2018-01-16,300.5634
2018-01-12,295.4588
2018-01-11,291.0981
2018-01-10,287.1359
2018-01-09,282.7168
2018-01-08,281.5258
2018-01-05,281.5258
2018-01-04,281.4553
2018-01-03,280.9160
2018-01-02,280.8303
2017-12-29,280.8303
2017-12-28,280.2658
2017-12-27,279.1819
2017-12-26,279.1819
2017-12-22,278.0562
2017-12-21,276.4873
2017-12-20,274.5739
2017-12-19,272.7383
2017-12-18,270.7196
2017-12-15,268.3165
2017-12-14,265.7585
2017-12-13,263.1327
2017-12-12,260.7645
2017-12-11,258.9923
2017-12-08,256.9785
2017-12-07,255.2022
2017-12-06,253.7214
2017-12-05,252.0761
2017-12-04,250.2479
2017-12-01,248.7320
2017-11-30,247.4073
2017-11-29,246.6888
2017-11-28,246.1352
2017-11-27,245.6762
2017-11-24,245.1930
2017-11-22,244.6844
2017-11-21,244.2796
2017-11-20,243.9740
2017-11-17,243.6589
2017-11-16,243.3341
2017-11-15,242.9992
2017-11-14,242.6540
2017-11-13,242.2981
2017-11-10,241.9312
2017-11-09,241.5530
2017-11-08,241.3067
2017-11-07,241.1856
2017-11-06,252.4124
2017-11-03,252.5258
2017-11-02,252.6403
2017-11-01,252.7560
2017-10-31,252.8729
2017-10-30,252.9910
2017-10-27,253.1102
2017-10-26,253.2307
2017-10-25,253.2307
2017-10-24,242.8242
2017-10-23,242.6356
2017-10-20,242.6356
2017-10-19,249.8476
2017-10-18,249.9182
2017-10-17,249.9896
2017-10-16,243.0504
2017-10-13,242.0135
2017-10-12,241.0305
2017-10-11,240.1738
2017-10-10,239.3707
2017-10-09,238.7413
2017-10-06,238.0496
2017-10-05,237.2896
2017-10-04,236.4544
2017-10-03,235.5366
2017-10-02,234.5280
2017-09-29,233.4197
2017-09-28,232.2017
2017-09-27,230.8633
2017-09-26,229.3925
2017-09-25,227.7763
2017-09-22,226.0002
2017-09-21,224.4746
2017-09-20,223.0604
