Dates,KAMA Values
2019-07-24,356.6987
2019-07-23,356.7360
2019-07-22,355.8695
2019-07-19,354.7515
2019-07-18,353.2608
2019-07-17,353.2221
2019-07-16,351.9637
2019-07-15,351.7933
2019-07-12,351.7551
2019-07-11,351.6981
2019-07-10,351.5829
2019-07-09,352.3626
2019-07-08,353.3102
2019-07-05,354.7177
2019-07-03,355.5134
2019-07-02,356.0527
2019-07-01,356.9371
2019-06-28,356.9796
2019-06-27,356.9484
2019-06-26,356.9210
2019-06-25,355.2592
2019-06-24,354.5843
2019-06-21,353.4118
2019-06-20,352.4429
2019-06-19,350.3007
2019-06-18,349.0023
2019-06-17,344.4369
2019-06-14,343.8229
2019-06-13,343.9208
2019-06-12,343.9291
2019-06-11,343.9573
2019-06-10,343.9764
2019-06-07,343.9506
2019-06-06,343.9033
2019-06-05,343.8977
2019-06-04,343.9596
2019-06-03,344.1423
2019-05-31,345.3731
2019-05-30,346.0891
2019-05-29,346.1321
2019-05-28,346.2166
2019-05-24,345.9047
2019-05-23,345.8924
2019-05-22,345.9098
2019-05-21,345.9004
2019-05-20,345.8236
2019-05-17,345.7794
2019-05-16,345.5710
2019-05-15,345.4225
2019-05-14,346.5051
2019-05-13,348.8724
2019-05-10,357.3434
2019-05-09,360.7305
2019-05-08,366.3184
2019-05-07,368.0475
2019-05-06,370.6847
2019-05-03,370.8890
2019-05-02,370.9744
2019-05-01,371.0200
2019-04-30,371.1115
2019-04-29,371.1365
2019-04-26,371.1416
2019-04-25,371.1055
2019-04-24,370.8420
2019-04-23,370.9416
2019-04-22,370.9701
2019-04-18,371.2075
2019-04-17,371.2074
2019-04-16,371.2471
2019-04-15,371.2162
2019-04-12,371.4191
2019-04-11,371.4230
2019-04-10,371.5244
2019-04-09,371.8665
2019-04-08,371.9343
2019-04-05,372.0027
2019-04-04,369.7799
2019-04-03,368.0510
2019-04-02,367.8290
2019-04-01,366.5965
2019-03-29,364.9247
2019-03-28,364.8513
2019-03-27,364.8457
2019-03-26,364.8389
2019-03-25,364.8946
2019-03-22,365.2533
2019-03-21,369.1501
2019-03-20,370.6790
2019-03-19,371.6357
2019-03-18,374.2915
2019-03-15,378.8777
2019-03-14,382.6570
2019-03-13,394.3178
2019-03-12,405.6560
2019-03-11,415.8765
2019-03-08,419.6505
2019-03-07,419.7081
2019-03-06,419.8422
2019-03-05,419.9009
2019-03-04,419.8872
2019-03-01,419.6653
2019-02-28,416.0597
2019-02-27,411.9491
2019-02-26,408.4586
2019-02-25,406.4016
2019-02-22,404.1293
2019-02-21,402.2827
2019-02-20,401.9835
2019-02-19,400.6658
2019-02-15,399.4487
2019-02-14,396.4509
2019-02-13,395.3238
2019-02-12,393.9332
2019-02-11,391.1556
2019-02-08,389.9333
2019-02-07,387.9799
2019-02-06,384.9613
2019-02-05,377.0839
2019-02-04,365.4446
2019-02-01,360.8485
2019-01-31,357.6811
2019-01-30,353.7044
2019-01-29,347.1511
2019-01-28,346.1717
2019-01-25,345.7270
2019-01-24,344.9921
