Dates,MINUS_DM Values
2020-02-19,91.8455
2020-02-18,93.7199
2020-02-14,93.6938
2020-02-13,90.8814
2020-02-12,91.5533
2020-02-11,93.4217
2020-02-10,95.3283
2020-02-07,97.2738
2020-02-06,99.2590
2020-02-05,101.2847
2020-02-04,103.3517
2020-02-03,105.4609
2020-01-31,105.4729
2020-01-30,106.9712
2020-01-29,107.6277
2020-01-28,109.8242
2020-01-27,111.4753
2020-01-24,113.7503
2020-01-23,116.0717
2020-01-22,118.4405
2020-01-21,117.7843
2020-01-17,102.6909
2020-01-16,98.3862
2020-01-15,100.0086
2020-01-14,102.0496
2020-01-13,102.3065
2020-01-10,104.3944
2020-01-09,103.8925
2020-01-08,106.0128
2020-01-07,107.0504
2020-01-06,109.2351
2020-01-03,109.0097
2020-01-02,111.2344
2019-12-31,113.5045
2019-12-30,113.3939
2019-12-27,112.2012
2019-12-26,114.4910
2019-12-24,113.4600
2019-12-23,114.1729
2019-12-20,116.5030
2019-12-19,115.8579
2019-12-18,118.2223
2019-12-17,120.6350
2019-12-16,117.1936
2019-12-13,104.7051
2019-12-12,106.8419
2019-12-11,109.0224
2019-12-10,102.1691
2019-12-09,102.1038
2019-12-06,104.1876
2019-12-05,106.3138
2019-12-04,105.2072
2019-12-03,107.3543
2019-12-02,101.8870
2019-11-29,92.7885
2019-11-27,94.0532
2019-11-26,91.3473
2019-11-25,93.2116
2019-11-22,95.1139
2019-11-21,97.0550
2019-11-20,99.0357
2019-11-19,101.0568
2019-11-18,96.7392
2019-11-15,98.7134
2019-11-14,100.7280
2019-11-13,102.7837
2019-11-12,104.8813
2019-11-11,107.0217
2019-11-08,109.2058
2019-11-07,106.8701
2019-11-06,109.0511
2019-11-05,111.2160
2019-11-04,113.4857
2019-11-01,115.8017
2019-10-31,118.1651
2019-10-30,116.7240
2019-10-29,119.1061
2019-10-28,121.5369
2019-10-25,124.0172
2019-10-24,126.5482
2019-10-23,129.1308
2019-10-22,131.7661
2019-10-21,134.4552
2019-10-18,117.4321
2019-10-17,94.5549
2019-10-16,96.3031
2019-10-15,98.2685
2019-10-14,98.1056
2019-10-11,100.1078
2019-10-10,102.1508
2019-10-09,101.0385
2019-10-08,103.1005
2019-10-07,100.7469
2019-10-04,102.8029
2019-10-03,104.9009
2019-10-02,106.4970
2019-10-01,97.7180
2019-09-30,97.6346
2019-09-27,94.9718
2019-09-26,94.8738
2019-09-25,96.8100
2019-09-24,98.7857
2019-09-23,100.8018
2019-09-20,99.3290
2019-09-19,96.3302
2019-09-18,98.2961
2019-09-17,100.3022
2019-09-16,102.3492
2019-09-13,102.3704
2019-09-12,104.4596
2019-09-11,106.5915
2019-09-10,108.7668
2019-09-09,110.9865
2019-09-06,108.8241
2019-09-05,111.0450
2019-09-04,113.3113
2019-09-03,115.6237
2019-08-30,106.0878
2019-08-29,108.2529
2019-08-28,110.4621
2019-08-27,110.2556
2019-08-26,109.2079
2019-08-23,111.4366
2019-08-22,113.7108
2019-08-21,116.0314
2019-08-20,118.3994
2019-08-19,118.2743
2019-08-16,120.6880
2019-08-15,123.1510
2019-08-14,124.7970
2019-08-13,117.1678
2019-08-12,119.5590
2019-08-09,120.1887
2019-08-08,122.6415
2019-08-07,125.1444
2019-08-06,123.1174
2019-08-05,125.6300
2019-08-02,122.8160
2019-08-01,124.6408
2019-07-31,119.1151
2019-07-30,121.5460
2019-07-29,121.4705
2019-07-26,121.0525
2019-07-25,119.8040
2019-07-24,107.8946
2019-07-23,99.4209
2019-07-22,100.2370
2019-07-19,102.2827
2019-07-18,104.3701
2019-07-17,104.2447
2019-07-16,106.3721
2019-07-15,108.5430
2019-07-12,110.7582
2019-07-11,113.0185
2019-07-10,115.3250
2019-07-09,117.6786
2019-07-08,118.5753
2019-07-05,118.9616
2019-07-03,121.3894
2019-07-02,123.4357
2019-07-01,125.3233
2019-06-28,119.6111
2019-06-27,121.2703
2019-06-26,116.0768
2019-06-25,118.4457
2019-06-24,116.7832
2019-06-21,119.1665
2019-06-20,121.5985
2019-06-19,124.0801
2019-06-18,126.6123
2019-06-17,129.1962
2019-06-14,131.8329
2019-06-13,134.5234
2019-06-12,137.2687
2019-06-11,134.7223
2019-06-10,132.0387
2019-06-07,134.7334
2019-06-06,137.4831
2019-06-05,140.2888
2019-06-04,135.5035
2019-06-03,138.2689
2019-05-31,130.3750
2019-05-30,126.4433
2019-05-29,129.0238
2019-05-28,122.8057
2019-05-24,125.3120
2019-05-23,127.8694
2019-05-22,119.8535
2019-05-21,119.1619
2019-05-20,121.5938
2019-05-17,123.4402
2019-05-16,125.9594
2019-05-15,128.5300
2019-05-14,131.1531
2019-05-13,133.8296
2019-05-10,125.9855
2019-05-09,128.5566
2019-05-08,127.3496
2019-05-07,128.2643
2019-05-06,120.3078
2019-05-03,114.2021
2019-05-02,116.5327
2019-05-01,115.7915
2019-04-30,118.1546
2019-04-29,118.8617
2019-04-26,119.9121
2019-04-25,122.3593
2019-04-24,124.8564
2019-04-23,127.4045
2019-04-22,127.7224
2019-04-18,127.7178
2019-04-17,130.3243
2019-04-16,132.9840
2019-04-15,135.6979
2019-04-12,138.4673
2019-04-11,141.2931
2019-04-10,144.1767
2019-04-09,142.3054
2019-04-08,141.1135
2019-04-05,124.9679
2019-04-04,127.5182
2019-04-03,130.1206
2019-04-02,128.3611
2019-04-01,130.9807
2019-03-29,133.6538
2019-03-28,136.3815
2019-03-27,139.1647
2019-03-26,139.9618
2019-03-25,142.8181
2019-03-22,145.7328
2019-03-21,138.0381
2019-03-20,139.4101
2019-03-19,142.2552
2019-03-18,145.1584
2019-03-15,148.1208
2019-03-14,145.5128
2019-03-13,148.4824
2019-03-12,146.8585
2019-03-11,149.8556
2019-03-08,103.1327
2019-03-07,104.3006
2019-03-06,100.8083
2019-03-05,96.3243
2019-03-04,98.2901
2019-03-01,86.7818
2019-02-28,88.5529
2019-02-27,90.3601
2019-02-26,92.2042
2019-02-25,91.8236
