Dates,TRIMA Values
2020-10-26,172.2847
2020-10-23,172.6435
2020-10-22,173.0159
2020-10-21,173.4052
2020-10-20,173.8142
2020-10-19,174.2429
2020-10-16,174.6916
2020-10-15,175.1600
2020-10-14,175.6480
2020-10-13,176.1563
2020-10-12,176.6860
2020-10-09,177.2372
2020-10-08,177.8116
2020-10-07,178.4095
2020-10-06,179.0310
2020-10-05,179.6776
2020-10-02,180.3484
2020-10-01,181.0440
2020-09-30,181.7631
2020-09-29,182.5066
2020-09-28,183.2745
2020-09-25,184.0683
2020-09-24,184.8883
2020-09-23,185.7329
2020-09-22,186.6005
2020-09-21,187.4900
2020-09-18,188.4016
2020-09-17,189.3366
2020-09-16,190.2968
2020-09-15,191.2840
2020-09-14,192.2977
2020-09-11,193.3373
2020-09-10,194.4031
2020-09-09,195.4937
2020-09-08,196.6064
2020-09-04,197.7431
2020-09-03,198.9040
2020-09-02,200.0899
2020-09-01,201.3004
2020-08-31,202.5349
2020-08-28,203.7924
2020-08-27,205.0742
2020-08-26,206.3807
2020-08-25,207.7120
2020-08-24,209.0709
2020-08-21,210.4566
2020-08-20,211.8673
2020-08-19,213.2991
2020-08-18,214.7504
2020-08-17,216.2178
2020-08-14,217.7023
2020-08-13,219.2096
2020-08-12,220.7448
2020-08-11,222.3107
2020-08-10,223.9086
2020-08-07,225.5379
2020-08-06,227.1956
2020-08-05,228.8774
2020-08-04,230.5802
2020-08-03,232.3041
2020-07-31,234.0469
2020-07-30,235.8004
2020-07-29,237.5607
2020-07-28,239.3252
2020-07-27,241.0908
2020-07-24,242.8561
2020-07-23,244.6191
2020-07-22,246.3797
2020-07-21,248.1387
2020-07-20,249.8961
2020-07-17,251.6484
2020-07-16,253.3944
2020-07-15,255.1333
2020-07-14,256.8633
2020-07-13,258.5837
2020-07-10,260.2929
2020-07-09,261.9898
2020-07-08,263.6740
2020-07-07,265.3448
2020-07-06,267.0030
2020-07-02,268.6485
2020-07-01,270.2825
2020-06-30,271.9044
2020-06-29,273.5145
2020-06-26,275.1135
2020-06-25,276.7055
2020-06-24,278.2881
2020-06-23,279.8607
2020-06-22,281.4232
2020-06-19,282.9760
2020-06-18,284.5196
2020-06-17,286.0540
2020-06-16,287.5801
2020-06-15,289.0977
2020-06-12,290.6084
2020-06-11,292.1115
2020-06-10,293.6058
2020-06-09,295.0871
2020-06-08,296.5582
2020-06-05,298.0188
2020-06-04,299.4694
2020-06-03,300.9081
2020-06-02,302.3318
